bcr,rep,species,dissim,ks_cmi,ks_gpp,ks_led,bc_lcc
BCR4,1,deciduousbirds,0.112,0.138,0.049,0.088,0.066
BCR4,1,deciduousbirds,0.113,0.15,0.049,0.088,0.065
BCR4,1,deciduousbirds,0.114,0.162,0.049,0.088,0.073
BCR4,1,deciduousbirds,0.114,0.166,0.074,0.085,0.089
BCR4,1,deciduousbirds,0.115,0.172,0.082,0.086,0.098
BCR4,1,deciduousbirds,0.262,0.119,0.092,0.119,0.142
BCR4,1,deciduousbirds,0.264,0.128,0.092,0.119,0.146
BCR4,1,deciduousbirds,0.284,0.117,0.082,0.103,0.16
BCR4,1,deciduousbirds,0.286,0.127,0.081,0.104,0.16
BCR4,1,deciduousbirds,0.3,0.121,0.094,0.104,0.19
BCR4,1,deciduousbirds,0.302,0.133,0.094,0.104,0.19
BCR4,1,deciduousbirds,0.303,0.146,0.103,0.104,0.19
BCR4,1,deciduousbirds,0.216,0.074,0.096,0.049,0.144
BCR4,1,deciduousbirds,0.216,0.081,0.095,0.048,0.136
BCR4,1,deciduousbirds,0.215,0.08,0.095,0.048,0.136
BCR4,1,deciduousbirds,0.216,0.081,0.095,0.048,0.136
BCR4,1,deciduousbirds,0.216,0.081,0.095,0.048,0.136
BCR4,1,deciduousbirds,0.215,0.082,0.095,0.048,0.135
BCR4,1,deciduousbirds,0.217,0.079,0.103,0.045,0.136
BCR4,1,deciduousbirds,0.217,0.078,0.103,0.046,0.136
BCR4,1,deciduousbirds,0.218,0.082,0.112,0.046,0.144
BCR4,1,deciduousbirds,0.194,0.089,0.073,0.026,0.123
BCR4,1,deciduousbirds,0.197,0.09,0.073,0.026,0.127
BCR4,1,deciduousbirds,0.194,0.09,0.072,0.026,0.123
BCR4,1,deciduousbirds,0.193,0.09,0.072,0.025,0.122
BCR4,1,deciduousbirds,0.194,0.087,0.083,0.023,0.12
BCR4,1,deciduousbirds,0.194,0.087,0.083,0.023,0.121
BCR4,1,deciduousbirds,0.193,0.088,0.084,0.022,0.12
BCR4,1,deciduousbirds,0.195,0.09,0.092,0.023,0.121
BCR4,1,deciduousbirds,0.295,0.145,0.11,0.111,0.155
BCR4,1,deciduousbirds,0.297,0.157,0.109,0.111,0.153
BCR4,1,deciduousbirds,0.134,0.132,0.065,0.014,0.053
BCR4,1,deciduousbirds,0.134,0.129,0.069,0.014,0.056
BCR4,1,deciduousbirds,0.138,0.136,0.085,0.014,0.062
BCR4,1,deciduousbirds,0.134,0.131,0.068,0.014,0.053
BCR4,1,deciduousbirds,0.124,0.131,0.049,0.015,0.044
BCR4,1,deciduousbirds,0.119,0.139,0.054,0.015,0.039
BCR4,1,deciduousbirds,0.113,0.131,0.039,0.016,0.037
BCR4,1,deciduousbirds,0.113,0.131,0.039,0.016,0.037
BCR4,1,deciduousbirds,0.138,0.149,0.062,0.014,0.045
BCR4,1,deciduousbirds,0.138,0.147,0.067,0.014,0.047
BCR4,1,deciduousbirds,0.142,0.153,0.082,0.014,0.049
BCR4,1,deciduousbirds,0.138,0.148,0.065,0.014,0.045
BCR4,1,deciduousbirds,0.127,0.147,0.047,0.015,0.038
BCR4,1,deciduousbirds,0.122,0.149,0.051,0.015,0.04
BCR4,1,deciduousbirds,0.116,0.139,0.037,0.016,0.043
BCR4,1,deciduousbirds,0.116,0.138,0.037,0.016,0.042
BCR4,1,deciduousbirds,0.134,0.107,0.083,0.006,0.078
BCR4,1,deciduousbirds,0.123,0.106,0.069,0.005,0.068
BCR4,1,deciduousbirds,0.14,0.109,0.078,0.007,0.079
BCR4,1,deciduousbirds,0.144,0.112,0.097,0.007,0.087
BCR4,1,deciduousbirds,0.14,0.108,0.081,0.007,0.079
BCR4,1,deciduousbirds,0.139,0.109,0.081,0.007,0.078
BCR4,1,deciduousbirds,0.129,0.108,0.065,0.006,0.068
BCR4,1,deciduousbirds,0.124,0.109,0.069,0.005,0.062
BCR4,1,deciduousbirds,0.117,0.099,0.054,0.006,0.06
BCR4,1,deciduousbirds,0.117,0.099,0.055,0.006,0.059
BCR4,1,deciduousbirds,0.152,0.126,0.07,0.009,0.073
BCR4,1,deciduousbirds,0.155,0.126,0.069,0.01,0.073
BCR4,1,deciduousbirds,0.154,0.127,0.069,0.01,0.072
BCR4,1,deciduousbirds,0.137,0.127,0.059,0.006,0.062
BCR4,1,deciduousbirds,0.13,0.112,0.045,0.006,0.06
BCR4,1,deciduousbirds,0.13,0.112,0.045,0.006,0.059
BCR4,1,deciduousbirds,0.142,0.128,0.099,0.007,0.075
BCR4,1,deciduousbirds,0.138,0.123,0.083,0.007,0.066
BCR4,1,deciduousbirds,0.127,0.123,0.067,0.006,0.059
BCR4,1,deciduousbirds,0.122,0.124,0.071,0.006,0.054
BCR4,1,deciduousbirds,0.115,0.111,0.056,0.006,0.053
BCR4,1,deciduousbirds,0.116,0.111,0.056,0.006,0.053
BCR4,1,deciduousbirds,0.152,0.125,0.072,0.009,0.073
BCR4,1,deciduousbirds,0.151,0.126,0.072,0.009,0.073
BCR4,1,deciduousbirds,0.134,0.127,0.061,0.006,0.061
BCR4,1,deciduousbirds,0.127,0.112,0.047,0.006,0.058
BCR4,1,deciduousbirds,0.127,0.112,0.047,0.006,0.058
BCR4,1,deciduousbirds,0.155,0.126,0.07,0.01,0.073
BCR4,1,deciduousbirds,0.142,0.125,0.055,0.007,0.064
BCR4,1,deciduousbirds,0.136,0.128,0.06,0.006,0.061
BCR4,1,deciduousbirds,0.155,0.131,0.047,0.007,0.07
BCR4,1,deciduousbirds,0.15,0.129,0.05,0.007,0.069
BCR4,1,deciduousbirds,0.142,0.112,0.037,0.006,0.071
BCR4,1,deciduousbirds,0.142,0.112,0.037,0.006,0.07
BCR4,1,deciduousbirds,0.143,0.122,0.049,0.006,0.084
BCR4,1,deciduousbirds,0.143,0.122,0.049,0.006,0.083
BCR4,1,deciduousbirds,0.112,0.119,0.032,0.096,0.082
BCR4,1,deciduousbirds,0.113,0.131,0.032,0.096,0.081
BCR4,1,deciduousbirds,0.114,0.143,0.035,0.097,0.082
BCR4,1,deciduousbirds,0.114,0.147,0.064,0.094,0.097
BCR4,1,deciduousbirds,0.115,0.153,0.074,0.094,0.106
BCR4,1,deciduousbirds,0.195,0.194,0.077,0.162,0.157
BCR4,1,deciduousbirds,0.198,0.193,0.077,0.163,0.158
BCR4,1,deciduousbirds,0.26,0.097,0.079,0.127,0.161
BCR4,1,deciduousbirds,0.262,0.109,0.079,0.127,0.161
BCR4,1,deciduousbirds,0.263,0.119,0.08,0.128,0.168
BCR4,1,deciduousbirds,0.263,0.12,0.082,0.127,0.169
BCR4,1,deciduousbirds,0.263,0.121,0.081,0.127,0.169
BCR4,1,deciduousbirds,0.264,0.121,0.111,0.125,0.183
BCR4,1,deciduousbirds,0.265,0.127,0.122,0.125,0.193
BCR4,1,deciduousbirds,0.281,0.097,0.073,0.112,0.179
BCR4,1,deciduousbirds,0.282,0.11,0.072,0.112,0.179
BCR4,1,deciduousbirds,0.283,0.12,0.08,0.112,0.18
BCR4,1,deciduousbirds,0.283,0.122,0.082,0.111,0.179
BCR4,1,deciduousbirds,0.285,0.123,0.112,0.109,0.193
BCR4,1,deciduousbirds,0.223,0.065,0.088,0.057,0.166
BCR4,1,deciduousbirds,0.221,0.07,0.087,0.057,0.157
BCR4,1,deciduousbirds,0.223,0.072,0.086,0.056,0.154
BCR4,1,deciduousbirds,0.226,0.069,0.096,0.054,0.155
BCR4,1,deciduousbirds,0.226,0.069,0.095,0.054,0.155
BCR4,1,deciduousbirds,0.223,0.07,0.098,0.053,0.154
BCR4,1,deciduousbirds,0.228,0.071,0.106,0.054,0.156
BCR4,1,deciduousbirds,0.194,0.079,0.065,0.034,0.145
BCR4,1,deciduousbirds,0.194,0.079,0.065,0.034,0.145
BCR4,1,deciduousbirds,0.205,0.079,0.065,0.034,0.149
BCR4,1,deciduousbirds,0.194,0.079,0.065,0.034,0.144
BCR4,1,deciduousbirds,0.193,0.08,0.065,0.034,0.144
BCR4,1,deciduousbirds,0.194,0.077,0.077,0.031,0.14
BCR4,1,deciduousbirds,0.194,0.076,0.076,0.031,0.142
BCR4,1,deciduousbirds,0.193,0.078,0.078,0.031,0.139
BCR4,1,deciduousbirds,0.195,0.079,0.086,0.031,0.14
BCR4,1,deciduousbirds,0.297,0.129,0.103,0.119,0.177
BCR4,1,deciduousbirds,0.3,0.131,0.103,0.12,0.175
BCR4,1,deciduousbirds,0.299,0.14,0.102,0.119,0.172
BCR4,1,deciduousbirds,0.3,0.15,0.102,0.12,0.174
BCR4,1,deciduousbirds,0.3,0.151,0.102,0.119,0.174
BCR4,1,deciduousbirds,0.301,0.152,0.111,0.117,0.189
BCR4,1,deciduousbirds,0.302,0.158,0.121,0.117,0.198
BCR4,1,deciduousbirds,0.179,0.133,0.022,0.006,0.076
BCR4,1,deciduousbirds,0.179,0.131,0.024,0.006,0.077
BCR4,1,deciduousbirds,0.184,0.137,0.035,0.006,0.078
BCR4,1,deciduousbirds,0.179,0.132,0.024,0.006,0.076
BCR4,1,deciduousbirds,0.18,0.135,0.048,0.006,0.077
BCR4,1,deciduousbirds,0.181,0.143,0.063,0.006,0.08
BCR4,1,deciduousbirds,0.236,0.172,0.023,0.063,0.159
BCR4,1,deciduousbirds,0.241,0.178,0.024,0.063,0.159
BCR4,1,deciduousbirds,0.236,0.173,0.024,0.062,0.159
BCR4,1,deciduousbirds,0.235,0.174,0.024,0.062,0.158
BCR4,1,deciduousbirds,0.237,0.175,0.061,0.059,0.16
BCR4,1,deciduousbirds,0.238,0.183,0.075,0.059,0.16
BCR4,1,deciduousbirds,0.244,0.086,0.038,0.026,0.131
BCR4,1,deciduousbirds,0.25,0.091,0.03,0.026,0.131
BCR4,1,deciduousbirds,0.244,0.086,0.041,0.026,0.131
BCR4,1,deciduousbirds,0.244,0.087,0.041,0.026,0.13
BCR4,1,deciduousbirds,0.245,0.087,0.077,0.023,0.132
BCR4,1,deciduousbirds,0.247,0.091,0.091,0.023,0.132
BCR4,1,deciduousbirds,0.264,0.119,0.096,0.099,0.2
BCR4,1,deciduousbirds,0.264,0.123,0.111,0.096,0.2
BCR4,1,deciduousbirds,0.246,0.089,0.057,0.012,0.122
BCR4,1,deciduousbirds,0.252,0.094,0.041,0.012,0.122
BCR4,1,deciduousbirds,0.247,0.089,0.06,0.012,0.122
BCR4,1,deciduousbirds,0.246,0.09,0.059,0.012,0.121
BCR4,1,deciduousbirds,0.247,0.09,0.095,0.009,0.122
BCR4,1,deciduousbirds,0.249,0.094,0.107,0.009,0.123
BCR4,0,deciduousbirds,0.61,0.318,0.22,0.4,0.322
BCR4,0,deciduousbirds,0.64,0.359,0.235,0.416,0.359
BCR4,0,deciduousbirds,0.608,0.328,0.219,0.435,0.361
BCR4,0,deciduousbirds,0.592,0.331,0.214,0.391,0.302
BCR4,0,deciduousbirds,0.639,0.466,0.212,0.466,0.283
BCR4,0,deciduousbirds,0.645,0.342,0.207,0.412,0.335
BCR4,0,deciduousbirds,0.675,0.383,0.225,0.429,0.374
BCR4,0,deciduousbirds,0.633,0.324,0.22,0.419,0.38
BCR4,0,deciduousbirds,0.531,0.235,0.201,0.313,0.304
BCR4,0,deciduousbirds,0.617,0.331,0.214,0.375,0.32
BCR4,0,deciduousbirds,0.671,0.462,0.213,0.448,0.304
BCR4,0,deciduousbirds,0.697,0.444,0.22,0.42,0.381
BCR4,0,deciduousbirds,0.657,0.378,0.223,0.426,0.402
BCR4,0,deciduousbirds,0.553,0.245,0.219,0.314,0.333
BCR4,0,deciduousbirds,0.533,0.244,0.204,0.296,0.32
BCR4,0,deciduousbirds,0.637,0.329,0.23,0.376,0.35
BCR4,0,deciduousbirds,0.684,0.475,0.233,0.449,0.335
BCR4,0,deciduousbirds,0.579,0.32,0.203,0.32,0.338
BCR4,0,deciduousbirds,0.687,0.453,0.218,0.432,0.395
BCR4,0,deciduousbirds,0.589,0.32,0.222,0.345,0.352
BCR4,0,deciduousbirds,0.569,0.32,0.203,0.322,0.337
BCR4,0,deciduousbirds,0.671,0.403,0.233,0.406,0.369
BCR4,0,deciduousbirds,0.729,0.558,0.237,0.483,0.357
BCR4,0,deciduousbirds,0.578,0.303,0.21,0.374,0.359
BCR4,0,deciduousbirds,0.671,0.397,0.217,0.444,0.375
BCR4,0,deciduousbirds,0.691,0.522,0.218,0.505,0.36
BCR4,0,deciduousbirds,0.672,0.52,0.21,0.455,0.292
BCR4,0,deciduousbirds,0.301,0.239,0.254,0.38,0.337
BCR4,0,deciduousbirds,0.337,0.241,0.251,0.365,0.352
BCR4,0,deciduousbirds,0.347,0.239,0.269,0.366,0.364
BCR4,0,deciduousbirds,0.395,0.316,0.261,0.401,0.372
BCR4,0,deciduousbirds,0.354,0.278,0.243,0.422,0.373
BCR4,0,deciduousbirds,0.336,0.277,0.254,0.373,0.339
BCR4,0,deciduousbirds,0.387,0.46,0.214,0.446,0.265
BCR4,0,deciduousbirds,0.404,0.296,0.256,0.387,0.237
BCR4,0,deciduousbirds,0.427,0.208,0.288,0.356,0.375
BCR4,0,deciduousbirds,0.43,0.296,0.255,0.371,0.256
BCR4,0,deciduousbirds,0.398,0.232,0.298,0.331,0.365
BCR4,0,deciduousbirds,0.443,0.296,0.276,0.372,0.283
BCR4,0,deciduousbirds,0.339,0.26,0.227,0.291,0.214
BCR4,0,deciduousbirds,0.403,0.226,0.293,0.348,0.372
BCR4,0,deciduousbirds,0.441,0.223,0.292,0.339,0.378
BCR4,0,deciduousbirds,0.484,0.371,0.275,0.402,0.302
BCR4,0,deciduousbirds,0.422,0.22,0.279,0.371,0.384
BCR4,0,deciduousbirds,0.451,0.338,0.258,0.42,0.304
BCR4,0,deciduousbirds,0.348,0.259,0.247,0.315,0.228
BCR4,0,deciduousbirds,0.331,0.26,0.227,0.293,0.213
BCR4,0,deciduousbirds,0.434,0.337,0.25,0.377,0.245
BCR4,0,deciduousbirds,0.401,0.208,0.284,0.375,0.395
BCR4,0,deciduousbirds,0.491,0.247,0.287,0.411,0.431
BCR4,0,deciduousbirds,0.458,0.215,0.271,0.43,0.432
BCR4,0,deciduousbirds,0.442,0.22,0.286,0.386,0.402
BCR4,0,deciduousbirds,0.486,0.37,0.247,0.451,0.313
BCR4,0,deciduousbirds,0.463,0.209,0.275,0.409,0.424
BCR4,0,deciduousbirds,0.514,0.265,0.279,0.426,0.439
BCR4,0,deciduousbirds,0.482,0.214,0.273,0.417,0.443
BCR4,0,deciduousbirds,0.467,0.222,0.276,0.373,0.414
BCR4,0,deciduousbirds,0.511,0.366,0.249,0.437,0.333
BCR4,0,deciduousbirds,0.503,0.296,0.288,0.417,0.447
BCR4,0,deciduousbirds,0.487,0.247,0.288,0.423,0.46
BCR4,0,deciduousbirds,0.488,0.215,0.288,0.374,0.431
BCR4,0,deciduousbirds,0.523,0.375,0.268,0.438,0.36
BCR4,0,deciduousbirds,0.429,0.206,0.261,0.318,0.389
BCR4,0,deciduousbirds,0.421,0.333,0.22,0.357,0.291
BCR4,0,deciduousbirds,0.504,0.313,0.283,0.429,0.457
BCR4,0,deciduousbirds,0.442,0.207,0.28,0.343,0.403
BCR4,0,deciduousbirds,0.523,0.29,0.285,0.404,0.437
BCR4,0,deciduousbirds,0.563,0.449,0.268,0.468,0.379
BCR4,0,deciduousbirds,0.427,0.222,0.236,0.3,0.344
