ecozone,ecoregion,intactness,nets_rep,nets_nonrep,networks,mdr,blbw_dens,boch_dens,brcr_dens,btnw_dens,cawa_dens,cmwa_dens,osfl_dens,pigr_dens,rubl_dens,swth_dens,wwcr_dens,caribou_dens,allbirds_dens,forestbirds_dens,allwaterfowl_dens,cavitynesters_dens,groundnesters_dens,overwaternesters_dens
4,51,0.957,49,192,241,23713,0.003,0.0491,0.0143,0.004,0.0025,0.0098,0.0055,0.0135,0.0162,0.1633,0.0939,0.7668,3.6903,2.37,0.3995,0.0438,0.2307,0.125
4,52,0.959,357,141,498,2534,0.0025,0.045,0.0131,0.0036,0.0024,0.0111,0.0046,0.0116,0.0137,0.1123,0.0839,0.6272,3.5025,2.1398,0.695,0.0337,0.409,0.2524
4,53,0.875,76,606,576,10592,0.0024,0.0469,0.0126,0.003,0.0022,0.0054,0.0034,0.0112,0.0084,0.1657,0.0763,0.7905,3.8425,2.2685,0.8529,0.0405,0.5003,0.3121
4,55,0.917,21,145,166,1075,0.0024,0.0482,0.0128,0.0034,0.0024,0.0068,0.0046,0.0123,0.0086,0.1993,0.0874,0.8346,3.637,2.2773,0.48,0.0373,0.2629,0.1798
4,59,0.995,2416,152,652,1015,0.0027,0.0464,0.014,0.0033,0.0024,0.0091,0.0047,0.0105,0.0123,0.237,0.0734,0.8538,3.7057,2.3624,0.5818,0.062,0.3226,0.1972
4,60,0.976,470,93,563,7191,0.0028,0.0439,0.0148,0.0033,0.0023,0.009,0.0047,0.0061,0.0075,0.2849,0.0806,0.7203,4.291,2.6097,0.8492,0.0942,0.4412,0.3138
4,62,0.89,41,80,121,1909,0.0042,0.069,0.0169,0.0061,0.0045,0.0213,0.0078,0.0098,0.0177,0.2298,0.1573,0.6951,4.0208,2.9361,0.2245,0.0756,0.1012,0.0477
5,68,0.998,233,208,441,841,0.0029,0.0426,0.0156,0.004,0.0026,0.0125,0.0043,0.0092,0.0122,0.1245,0.0661,0.6246,2.8831,1.6988,0.644,0.075,0.3785,0.1905
5,69,0.987,559,882,1000,8281,0.0032,0.0484,0.0162,0.0044,0.003,0.0129,0.0055,0.0094,0.0147,0.2503,0.0904,0.5992,3.9034,2.6652,0.7981,0.1672,0.3769,0.254
5,70,1,2116,129,629,2396,0.0031,0.0417,0.0168,0.0042,0.0027,0.0096,0.0037,0.0106,0.0091,0.0821,0.0659,0.9078,2.6095,1.4775,0.7246,0.0586,0.4849,0.1812
5,71,0.996,9271,167,667,4225,0.003,0.0486,0.0165,0.0042,0.0026,0.0098,0.0047,0.015,0.02,0.1462,0.0904,0.8043,3.8416,2.6641,0.5776,0.1031,0.3309,0.1436
5,72,0.9,1248,210,710,8551,0.0065,0.1223,0.0248,0.0065,0.004,0.013,0.0077,0.0213,0.0494,0.1459,0.1584,0.7865,4.4721,3.2902,0.3547,0.1428,0.1605,0.0514
5,74,0.948,1831,173,673,1089,0.005,0.0911,0.0241,0.0051,0.0034,0.0133,0.006,0.0238,0.0411,0.1013,0.1871,0.8698,4.4094,3.3582,0.3459,0.0965,0.2066,0.0427
5,77,0.988,8201,398,898,1299,0.0067,0.1086,0.021,0.0071,0.0032,0.0148,0.0066,0.0219,0.025,0.1314,0.127,0.855,3.6294,2.7085,0.273,0.0629,0.1725,0.0376
5,78,0.853,6531,365,865,1369,0.0059,0.1397,0.0217,0.0069,0.003,0.0142,0.0068,0.0216,0.0188,0.1829,0.1962,0.829,4.1127,3.1335,0.3044,0.0726,0.1922,0.0395
5,80,0.981,69,419,488,272,0.0073,0.2474,0.0196,0.0242,0.0033,0.0176,0.006,0.028,0.008,0.2454,0.1639,0.8547,4.7925,3.9891,0.2481,0.0519,0.1559,0.0403
6A,87,0.968,121,36,157,7838,0.0032,0.0676,0.0166,0.0056,0.0049,0.0344,0.0067,0.0066,0.0175,0.2377,0.1645,0.764,4.3546,3.4187,0.5059,0.1471,0.2437,0.1151
6A,88,0.95,7445,29,529,5041,0.0135,0.0732,0.0261,0.0101,0.0092,0.1015,0.0055,0.0062,0.0137,0.2036,0.1627,0.7118,5.1139,4.1909,0.5721,0.2253,0.247,0.0997
