ecozone,ecoprovince,ecoregion,all_nets,rep_nets,nonrep_nets,rep_gd10km,nonrep_gd10km,rep1_nets,nonrep1_nets,diff_rep,diff_nonrep
4,4.1,51,20825,68,412,49,192,68,412,0,0
4,4.2,52,10000,6,145,6,141,6,145,0,0
4,4.2,53,14190,264,1295,76,606,264,1295,0,0
4,4.2,54,8911,13,412,9,146,13,412,0,0
4,4.2,55,9180,42,260,21,145,42,260,0,0
4,4.2,56,9139,0,2277,0,2277,0,2277,0,0
4,4.2,58,5984,0,291,0,291,0,291,0,0
4,4.2,59,10000,147,162,137,152,147,162,0,0
4,4.2,60,34220,1610,208,470,93,1610,208,0,0
4,4.1,61,1431,9,128,7,99,9,128,0,0
4,4.1,62,5984,76,269,41,80,76,269,0,0
4,4.2,63,20,0,0,0,0,0,0,0,0
4,4.3,64,3654,0,826,0,826,0,826,0,0
4,4.3,65,84,0,0,0,0,0,0,0,0
4,4.3,66,120,0,3,0,3,0,3,0,0
5,5.1,68,10000,30,217,27,208,30,217,0,0
5,5.1,69,10000,13,979,13,882,13,979,0,0
5,5.1,70,10000,11,129,11,129,11,129,0,0
5,5.1,71,10000,84,170,83,167,84,170,0,0
5,5.2,72,10000,74,223,63,210,74,223,0,0
5,5.2,74,10000,12,173,12,173,12,173,0,0
5,5.3,77,10000,143,400,142,398,143,400,0,0
5,5.3,78,10000,46,372,45,365,46,372,0,0
5,5.3,80,10000,1,419,1,419,1,419,0,0
6A,6.1,87,10000,157,42,88,36,157,42,0,0
6A,6.1,88,10000,155,29,152,29,155,29,0,0
6A,6.1,89,10000,72,29,64,28,72,29,0,0
6A,6.2,90,10000,40,103,40,101,40,103,0,0
6A,6.5,91,120,0,0,0,0,0,0,0,0
6A,6.5,93,3654,0,0,0,0,0,0,0,0
6A,6.2,94,10000,0,0,0,0,0,5740,0,5740
6A,6.1,95,10000,41,109,40,109,41,109,0,0
6A,6.2,96,10000,0,0,0,0,0,2831,0,2831
6A,6.6,97,3276,2,117,2,47,2,117,0,0
6A,6.2,100,10000,23,924,22,781,23,924,0,0
6A,6.3,103,10000,31,78,31,78,31,78,0,0
6A,6.3,104,10000,49,22,24,8,49,22,0,0
6A,6.3,105,10000,97,310,93,305,97,310,0,0
6B,6.4,107,8436,0,0,0,0,0,400,0,400
6B,6.4,108,10000,0,0,0,0,0,808,0,808
6B,6.4,112,1540,0,0,0,0,0,238,0,238
6B,6.4,113,84,0,0,0,0,0,55,0,55
6B,6.4,114,10000,15,542,8,145,15,542,0,0
9,9.2,136,666,53,99,31,49,53,99,0,0
9,9.2,138,20,0,0,0,0,0,3,0,3
9,9.2,139,10000,0,0,0,0,0,7526,0,7526
9,9.2,142,4,0,0,0,0,0,0,0,0
9,9.3,148,1330,1,19,1,14,1,19,0,0
9,9.3,155,1140,3,7,2,6,3,7,0,0
11,11.1,165,5984,300,284,151,223,300,284,0,0
11,11.2,166,10000,22,364,17,160,22,364,0,0
11,11.3,168,10000,2107,3,1510,3,2107,3,0,0
11,11.3,169,10000,0,0,0,0,0,0,0,0
11,11.4,170,55945,3747,541,2384,433,3747,541,0,0
11,11.4,171,8778,258,676,130,320,258,676,0,0
12,12.4,172,10000,1474,3,1262,3,1474,3,0,0
12,12.2,174,4495,430,11,142,5,430,11,0,0
12,12.2,175,10000,1283,111,874,81,1283,111,0,0
12,12.2,176,9591,153,235,100,153,153,235,0,0
12,12.2,177,4278,61,83,37,61,61,83,0,0
12,12.2,178,10296,225,458,166,352,225,458,0,0
12,12.3,179,10000,821,140,603,127,821,140,0,0
12,12.3,180,10000,159,432,149,420,159,432,0,0
12,12.2,181,10000,44,1948,27,1665,44,1948,0,0
12,12.2,182,1326,0,0,0,0,25,0,25,0
12,12.3,183,4095,52,50,31,23,52,50,0,0
14,14.1,199,12090,14,1665,12,990,14,1665,0,0
14,14.1,200,10000,139,9,128,9,139,9,0,0
14,14.4,207,4371,393,181,309,105,393,181,0,0
15,15.1,215,10000,23,2461,23,2310,23,2461,0,0
15,15.2,216,10000,0,0,0,0,0,911,0,911
15,15.2,217,10000,56,234,56,234,56,234,0,0
