zone,species,area,data,pct,min,mean,median,p80,p90,p95,max
50,blbw,2260,2252,100,0.0014,0.0022,0.0022,0.0023,0.0024,0.0024,0.0025
50,boch,2260,2252,100,0.0361,0.0454,0.0459,0.0466,0.0468,0.0473,0.0504
50,brcr,2260,2252,100,0.0119,0.0128,0.0128,0.0131,0.0132,0.0132,0.0134
50,btnw,2260,2252,100,0.0023,0.0035,0.0037,0.0037,0.0037,0.0037,0.0043
50,cawa,2260,2252,100,0.0022,0.0024,0.0023,0.0025,0.0027,0.0027,0.0029
50,cmwa,2260,2252,100,0.0044,0.011,0.011,0.0128,0.0136,0.0157,0.0623
50,osfl,2260,2252,100,0.0029,0.0047,0.0047,0.0055,0.0056,0.0057,0.0075
50,pigr,2260,2252,100,0.006,0.0186,0.0104,0.0256,0.0466,0.0551,0.1405
50,rubl,2260,2252,100,0.0032,0.0226,0.0168,0.0383,0.053,0.0637,0.0978
50,swth,2260,2252,100,0.0513,0.0671,0.0664,0.0735,0.0774,0.0821,0.0936
50,wwcr,2260,2252,100,0.0717,0.0948,0.094,0.1016,0.1054,0.1165,0.1986
51,blbw,15168,15168,100,0.0015,0.003,0.0025,0.0033,0.0046,0.0064,0.0081
51,boch,15168,15168,100,0.0193,0.0491,0.0481,0.0498,0.0533,0.0597,0.0892
51,brcr,15168,15168,100,0.0104,0.0143,0.0135,0.0158,0.0185,0.0191,0.0211
51,btnw,15168,15168,100,0.0027,0.004,0.0037,0.0046,0.0055,0.0057,0.0097
51,cawa,15168,15168,100,0.0019,0.0025,0.0024,0.0027,0.0028,0.0029,0.0056
51,cmwa,15168,15168,100,0.0029,0.0098,0.0104,0.0118,0.013,0.0137,0.021
51,osfl,15168,15168,100,0.0025,0.0055,0.0055,0.0063,0.0074,0.0085,0.0106
51,pigr,15168,15168,100,0.0054,0.0135,0.0137,0.0157,0.0167,0.0174,0.0519
51,rubl,15168,15168,100,0.0041,0.0163,0.0178,0.0223,0.0239,0.0258,0.0352
51,swth,15168,15168,100,0.0462,0.1626,0.1586,0.202,0.2245,0.2516,0.3075
51,wwcr,15168,15168,100,0.0443,0.094,0.0926,0.1043,0.1133,0.1215,0.1948
52,blbw,27104,27104,100,0.0013,0.0023,0.0025,0.0026,0.0026,0.0027,0.0036
52,boch,27104,27104,100,0.0336,0.0444,0.0447,0.0471,0.0476,0.0481,0.0668
52,brcr,27104,27104,100,0.0121,0.0132,0.013,0.0132,0.014,0.0156,0.0166
52,btnw,27104,27104,100,0.002,0.0034,0.0037,0.0038,0.0038,0.0038,0.0045
52,cawa,27104,27104,100,0.0021,0.0025,0.0024,0.0025,0.0027,0.0028,0.0035
52,cmwa,27104,27104,100,0.0036,0.0218,0.0129,0.0384,0.0581,0.0687,0.0771
52,osfl,27104,27104,100,0.0026,0.0047,0.0047,0.0052,0.0056,0.0058,0.0069
52,pigr,27104,27104,100,0.0045,0.012,0.0121,0.0136,0.0144,0.0158,0.2145
