ecozone,ecoprovince,ecoregion,species,eco_cells,spp_cells,pct_range,min,mean,median,p80,p90,p95,max,std_dev
4,4.1,51,blbw,3792,3792,0,0.0016,0.003,0.0025,0.0033,0.0045,0.0064,0.0081,0.0012
4,4.1,51,boch,3792,3792,100,0.0184,0.0491,0.0481,0.0498,0.0532,0.0602,0.0889,0.0058
4,4.1,51,brcr,3792,3792,0,0.0107,0.0143,0.0135,0.0157,0.0185,0.0191,0.021,0.0021
4,4.1,51,btnw,3792,3792,0,0.0027,0.004,0.0037,0.0046,0.0054,0.0057,0.0095,9e-4
4,4.1,51,cawa,3792,3792,0,0.0019,0.0025,0.0024,0.0027,0.0028,0.0029,0.0053,3e-4
4,4.1,51,cmwa,3792,3792,0,0.0029,0.0098,0.0104,0.0118,0.013,0.0137,0.0203,0.0027
4,4.1,51,osfl,3792,3792,57,0.0025,0.0055,0.0055,0.0063,0.0074,0.0085,0.0105,0.0014
4,4.1,51,pigr,3792,3792,100,0.0053,0.0135,0.0137,0.0157,0.0166,0.0174,0.0567,0.0029
4,4.1,51,rubl,3792,3792,100,0.0039,0.0162,0.0177,0.0223,0.0238,0.0258,0.0348,0.0067
4,4.1,51,swth,3792,3792,42,0.0446,0.1633,0.1594,0.2028,0.2251,0.2548,0.3076,0.0499
4,4.1,51,wwcr,3792,3792,100,0.0492,0.0939,0.0926,0.1043,0.1135,0.122,0.1864,0.015
4,4.1,51,caribou,3792,3791,100,0.0019,0.7668,0.8163,0.8826,0.9009,0.9098,0.9426,0.1648
4,4.1,51,AllBirds,3792,3792,100,2.0322,3.6903,3.6918,3.9865,4.1468,4.2692,5.6736,0.3631
4,4.1,51,ForestBirds,3792,3792,100,0.9886,2.37,2.3791,2.5926,2.7131,2.7951,4.0375,0.2792
4,4.1,51,AllWaterfowl,3792,3792,100,0.093,0.3995,0.3216,0.5665,0.7384,0.9306,3.4294,0.2873
4,4.1,51,CavityNesters,3792,3792,100,0.0105,0.0438,0.0401,0.0567,0.0673,0.0805,0.1865,0.0201
4,4.1,51,GroundNesters,3792,3792,100,0.0562,0.2307,0.1827,0.3284,0.4321,0.546,2.3082,0.1755
4,4.1,51,OverwaterNesters,3792,3792,100,0.0206,0.125,0.0894,0.1909,0.262,0.334,1.0084,0.1058
4,4.2,52,blbw,6776,4989,0,0.0014,0.0025,0.0025,0.0026,0.0026,0.0027,0.0036,2e-4
4,4.2,52,boch,6776,4989,72,0.0354,0.045,0.0459,0.0473,0.0478,0.0483,0.0663,0.003
4,4.2,52,brcr,6776,4989,0,0.0121,0.0131,0.013,0.0132,0.0135,0.0154,0.0166,8e-4
4,4.2,52,btnw,6776,4989,0,0.0022,0.0036,0.0037,0.0038,0.0038,0.0038,0.0046,3e-4
4,4.2,52,cawa,6776,4989,0,0.0021,0.0024,0.0024,0.0025,0.0026,0.0027,0.0033,1e-4
4,4.2,52,cmwa,6776,4989,0,0.0035,0.0111,0.0122,0.0132,0.0144,0.017,0.0592,0.0041
4,4.2,52,osfl,6776,4989,0,0.0026,0.0046,0.0046,0.0054,0.0057,0.0058,0.0068,8e-4
4,4.2,52,pigr,6776,4989,64,0.0045,0.0116,0.0109,0.0135,0.0142,0.0156,0.2233,0.0096
4,4.2,52,rubl,6776,4989,75,0.0028,0.0137,0.0136,0.0191,0.0231,0.0292,0.0891,0.0088
4,4.2,52,swth,6776,4989,0,0.047,0.1123,0.0973,0.1591,0.1906,0.227,0.254,0.0546
4,4.2,52,wwcr,6776,4989,74,0.0616,0.0839,0.083,0.0917,0.096,0.1011,0.2245,0.0121
4,4.2,52,caribou,6776,6775,100,0,0.6272,0.8186,0.8752,0.8911,0.9004,0.9423,0.3583
4,4.2,52,AllBirds,6776,4989,74,2.2711,3.5025,3.3237,3.8201,4.4994,5.3692,8.0449,0.8279
4,4.2,52,ForestBirds,6776,4989,74,1.1019,2.1398,2.1174,2.3845,2.8717,3.7383,6.0602,0.7006
4,4.2,52,AllWaterfowl,6776,5655,83,0.1496,0.695,0.6424,0.8638,1.0173,1.1926,3.2064,0.2912
4,4.2,52,CavityNesters,6776,5655,83,0.0074,0.0337,0.029,0.0453,0.0568,0.0691,0.136,0.0175
4,4.2,52,GroundNesters,6776,5655,83,0.1052,0.409,0.3749,0.5058,0.608,0.7303,1.9719,0.1783
4,4.2,52,OverwaterNesters,6776,5655,83,0.0298,0.2524,0.2326,0.325,0.3973,0.4649,1.116,0.1193
4,4.2,53,blbw,1897,1897,0,0.0013,0.0024,0.0025,0.0025,0.0026,0.0026,0.0027,2e-4
4,4.2,53,boch,1897,1897,100,0.0396,0.0469,0.0467,0.048,0.049,0.0501,0.0711,0.0024
4,4.2,53,brcr,1897,1897,0,0.0119,0.0126,0.0126,0.0127,0.0127,0.0128,0.0132,2e-4
4,4.2,53,btnw,1897,1897,0,0.0022,0.003,0.0028,0.0032,0.0037,0.0037,0.0039,3e-4
4,4.2,53,cawa,1897,1897,0,0.0019,0.0022,0.0022,0.0024,0.0024,0.0024,0.0028,1e-4
4,4.2,53,cmwa,1897,1897,0,0.0032,0.0054,0.005,0.0059,0.0064,0.0072,0.0139,9e-4
4,4.2,53,osfl,1897,1897,0,0.0026,0.0034,0.0031,0.0038,0.0041,0.0054,0.0072,8e-4
4,4.2,53,pigr,1897,1897,100,0.0073,0.0112,0.0109,0.012,0.0128,0.0135,0.0618,0.0027
4,4.2,53,rubl,1897,1897,100,0.0032,0.0084,0.006,0.0081,0.0171,0.0266,0.053,0.0076
4,4.2,53,swth,1897,1897,0,0.0639,0.1657,0.1663,0.2114,0.2273,0.2525,0.3084,0.0533
4,4.2,53,wwcr,1897,1897,100,0.0633,0.0763,0.0732,0.0828,0.0912,0.0988,0.1285,0.0103
4,4.2,53,caribou,1897,1897,100,0.0049,0.7905,0.8172,0.876,0.9012,0.9218,0.9564,0.125
4,4.2,53,AllBirds,1897,1897,100,2.9758,3.8425,3.8348,4.1271,4.2765,4.9668,6.0824,0.517
4,4.2,53,ForestBirds,1897,1897,100,1.6589,2.2685,2.1481,2.4227,2.7033,3.3778,4.4879,0.4288
4,4.2,53,AllWaterfowl,1897,1897,100,0.2099,0.8529,0.7786,1.1582,1.3651,1.5093,2.0631,0.348
4,4.2,53,CavityNesters,1897,1897,100,0.0093,0.0405,0.0335,0.0527,0.0683,0.0906,0.1609,0.0231
