ecozone,ecoprovince,ecoregion,spp,eco_cells,spp_cells,min,mean,median,p80,p90,p95,max,std_dev
4,4.2,50,alfl,565,564,0.0098,0.0614,0.0394,0.0979,0.1331,0.1493,0.259,0.0434
4,4.2,50,amcr,565,564,0.0027,0.0033,0.0032,0.0036,0.0038,0.0041,0.0061,4e-4
4,4.2,50,amgo,565,564,0.0119,0.0148,0.0148,0.0149,0.015,0.0153,0.0165,3e-4
4,4.2,50,ampi,565,564,0.0025,0.0033,0.0032,0.0038,0.0041,0.0043,0.0049,6e-4
4,4.2,50,amre,565,564,0.0116,0.0204,0.0205,0.0215,0.022,0.0224,0.0287,0.0017
4,4.2,50,amro,565,564,0.1402,0.1439,0.1435,0.1455,0.1463,0.1471,0.1529,0.002
4,4.2,50,atsp,565,564,0.141,0.2266,0.2181,0.2648,0.2829,0.3024,0.3936,0.0451
4,4.2,50,baww,565,564,0.0068,0.0108,0.0116,0.0123,0.0124,0.0125,0.0143,0.0018
4,4.2,50,bbwa,565,564,0.0021,0.0036,0.0034,0.0041,0.0048,0.0055,0.0068,9e-4
4,4.2,50,bcch,565,564,0.021,0.0213,0.0212,0.0213,0.0214,0.0215,0.0221,1e-4
4,4.2,50,bhco,565,564,0.0261,0.0344,0.0345,0.0348,0.0349,0.0354,0.0394,9e-4
4,4.2,50,bhvi,565,564,0.0045,0.0067,0.0069,0.0077,0.0078,0.0078,0.008,0.001
4,4.2,50,blbw,565,564,0.0014,0.0022,0.0022,0.0024,0.0024,0.0024,0.0025,2e-4
4,4.2,50,blja,565,564,0.0019,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0
4,4.2,50,blpw,565,564,0.0082,0.0456,0.0412,0.0558,0.0749,0.089,0.2098,0.028
4,4.2,50,boch,565,564,0.0376,0.0454,0.0459,0.0466,0.0468,0.0472,0.0503,0.0018
4,4.2,50,brbl,565,564,0.0031,0.0043,0.0043,0.005,0.0052,0.0053,0.0059,7e-4
4,4.2,50,brcr,565,564,0.0119,0.0128,0.0128,0.0131,0.0132,0.0132,0.0134,3e-4
4,4.2,50,btnw,565,564,0.0024,0.0035,0.0037,0.0037,0.0037,0.0037,0.0044,3e-4
4,4.2,50,cawa,565,564,0.0022,0.0024,0.0023,0.0025,0.0027,0.0027,0.0029,1e-4
4,4.2,50,ccsp,565,564,0.0069,0.0103,0.0109,0.0111,0.0114,0.0117,0.0122,0.001
4,4.2,50,cedw,565,564,0.0401,0.0462,0.0434,0.0516,0.0523,0.0526,0.0671,0.0049
4,4.2,50,chsp,565,564,0.0552,0.0738,0.0684,0.0883,0.0968,0.1032,0.1149,0.0153
4,4.2,50,cmwa,565,564,0.0045,0.011,0.011,0.0128,0.0136,0.0144,0.065,0.0057
4,4.2,50,cogr,565,564,0.0214,0.0221,0.0219,0.0225,0.0229,0.0234,0.0264,7e-4
4,4.2,50,conw,565,564,7e-4,8e-4,8e-4,8e-4,8e-4,8e-4,9e-4,0
4,4.2,50,cora,565,564,0.0133,0.0155,0.0154,0.016,0.0169,0.0172,0.0231,0.0011
4,4.2,50,core,565,564,0.486,2.2644,2.4872,3.2211,3.5689,3.9344,4.7293,1.0938
4,4.2,50,coye,565,564,0.0128,0.0159,0.0155,0.0167,0.0181,0.0183,0.0188,0.0012
4,4.2,50,cswa,565,564,0.0025,0.0027,0.0028,0.0028,0.0029,0.0029,0.003,1e-4
4,4.2,50,deju,565,564,0.0549,0.0746,0.0753,0.0799,0.0826,0.0865,0.0993,0.0073
4,4.2,50,eaki,565,564,0.0029,0.0033,0.0033,0.0033,0.0033,0.0033,0.0033,1e-4
4,4.2,50,eaph,565,564,0.0016,0.0017,0.0016,0.0017,0.0017,0.0017,0.0017,0
4,4.2,50,evgr,565,564,0.0022,0.0024,0.0023,0.0024,0.0026,0.0027,0.0046,3e-4
4,4.2,50,fosp,565,564,0.0449,0.0948,0.0958,0.1077,0.115,0.1262,0.1607,0.0189
4,4.2,50,gcki,565,564,0.0147,0.0174,0.017,0.0192,0.0199,0.0203,0.0216,0.0016
4,4.2,50,gcth,565,564,0.0105,0.0342,0.0358,0.0441,0.0472,0.0499,0.0777,0.012
4,4.2,50,graj,565,564,0.0337,0.0623,0.062,0.0749,0.0886,0.0997,0.1129,0.0183
4,4.2,50,heth,565,564,0.0148,0.0178,0.0178,0.0192,0.0198,0.0202,0.0242,0.0015
4,4.2,50,hola,565,564,0.0069,0.0072,0.0071,0.0071,0.0071,0.0076,0.0096,4e-4
4,4.2,50,lcsp,565,564,0.0034,0.0047,0.005,0.0053,0.0054,0.0055,0.0055,6e-4
4,4.2,50,lefl,565,564,0.019,0.0207,0.0207,0.0209,0.0211,0.0215,0.0229,5e-4
4,4.2,50,lisp,565,564,0.0133,0.0236,0.0213,0.0285,0.0331,0.0348,0.0389,0.0053
4,4.2,50,mawa,565,564,0.0228,0.0285,0.0283,0.0309,0.0314,0.032,0.0329,0.0023
4,4.2,50,mowa,565,564,0.0016,0.0019,0.0019,0.002,0.002,0.0021,0.0021,1e-4
4,4.2,50,nawa,565,564,0.0048,0.0056,0.0056,0.0057,0.0058,0.0058,0.0086,3e-4
4,4.2,50,nowa,565,564,0.0175,0.058,0.0513,0.0694,0.1032,0.1246,0.1582,0.0281
4,4.2,50,ocwa,565,564,0.039,0.0444,0.0445,0.0459,0.0469,0.0477,0.0516,0.0021
4,4.2,50,osfl,565,564,0.0029,0.0047,0.0047,0.0055,0.0056,0.0057,0.0079,7e-4
4,4.2,50,oven,565,564,0.0053,0.0063,0.0064,0.0066,0.0067,0.0067,0.0069,3e-4
4,4.2,50,pawa,565,564,0.0075,0.0127,0.0124,0.0152,0.0161,0.0168,0.0194,0.0026
4,4.2,50,phvi,565,564,0.0037,0.0049,0.0049,0.005,0.0051,0.0052,0.011,7e-4
4,4.2,50,pigr,565,564,0.0059,0.0186,0.0104,0.027,0.0456,0.0552,0.1261,0.018
4,4.2,50,pisi,565,564,0.0211,0.0274,0.0277,0.0307,0.0323,0.0329,0.0347,0.0034
4,4.2,50,pufi,565,564,0.003,0.0057,0.0057,0.0058,0.0059,0.0059,0.0069,2e-4
4,4.2,50,rbgr,565,564,0.0018,0.0022,0.0022,0.0023,0.0023,0.0024,0.0026,1e-4
