ecozone,ecoprovince,ecoregion,spp,eco_cells,spp_cells,min,mean,median,p80,p90,p95,max,std_dev
4,4.1,51,alfl,3792,3792,0.0201,0.106,0.1031,0.156,0.1909,0.2079,0.2714,0.0552
4,4.1,51,amcr,3792,3792,0.0027,0.0031,0.0031,0.0031,0.0032,0.0032,0.0083,2e-4
4,4.1,51,amgo,3792,3792,0.0145,0.0152,0.0148,0.0158,0.0165,0.0171,0.0205,8e-4
4,4.1,51,ampi,3792,3792,5e-4,0.0022,0.0024,0.0033,0.0034,0.0037,0.0081,0.0011
4,4.1,51,amre,3792,3792,0.0135,0.0198,0.0187,0.0213,0.0228,0.0251,0.0613,0.0039
4,4.1,51,amro,3792,3792,0.1149,0.139,0.1387,0.1447,0.1479,0.1499,0.1686,0.007
4,4.1,51,atsp,3792,3792,5e-4,0.089,0.0892,0.1366,0.1485,0.168,0.5268,0.0577
4,4.1,51,baww,3792,3792,0.0058,0.0108,0.0117,0.0125,0.0128,0.0135,0.0212,0.0023
4,4.1,51,bbwa,3792,3792,0.0022,0.006,0.0054,0.008,0.0096,0.0109,0.0266,0.0027
4,4.1,51,bcch,3792,3792,0.0208,0.0216,0.0214,0.0217,0.0224,0.0226,0.0284,6e-4
4,4.1,51,bhco,3792,3792,0.0196,0.0287,0.0287,0.034,0.0346,0.0351,0.0369,0.005
4,4.1,51,bhvi,3792,3792,0.0037,0.0071,0.0073,0.0077,0.0079,0.0087,0.0235,0.0015
4,4.1,51,blbw,3792,3792,0.0016,0.003,0.0025,0.0033,0.0045,0.0064,0.0081,0.0012
4,4.1,51,blja,3792,3792,0.0022,0.0023,0.0022,0.0023,0.0026,0.0027,0.0028,1e-4
4,4.1,51,blpw,3792,3792,0.0056,0.138,0.1243,0.1825,0.2177,0.262,0.5014,0.0686
4,4.1,51,boch,3792,3792,0.0184,0.0491,0.0481,0.0498,0.0532,0.0602,0.0889,0.0058
4,4.1,51,brbl,3792,3792,0.0031,0.004,0.0036,0.004,0.006,0.007,0.0079,0.0011
4,4.1,51,brcr,3792,3792,0.0107,0.0143,0.0135,0.0157,0.0185,0.0191,0.021,0.0021
4,4.1,51,btnw,3792,3792,0.0027,0.004,0.0037,0.0046,0.0054,0.0057,0.0095,9e-4
