zone,species,area,data,pct,min,mean,median,p80,p90,p95,max
50,blbw,2260,0,0,0,0,0,0,0,0,0
50,boch,2260,2252,100,0.0361,0.0454,0.0459,0.0466,0.0468,0.0473,0.0504
50,brcr,2260,0,0,0,0,0,0,0,0,0
50,btnw,2260,0,0,0,0,0,0,0,0,0
50,cawa,2260,0,0,0,0,0,0,0,0,0
50,cmwa,2260,0,0,0,0,0,0,0,0,0
50,osfl,2260,0,0,0,0,0,0,0,0,0
50,pigr,2260,2252,100,0.006,0.0186,0.0104,0.0256,0.0466,0.0551,0.1405
50,rubl,2260,1884,83,0.004,0.0259,0.0209,0.0428,0.0571,0.0654,0.0978
50,swth,2260,0,0,0,0,0,0,0,0,0
50,wwcr,2260,2252,100,0.0717,0.0948,0.094,0.1016,0.1054,0.1165,0.1986
51,blbw,15168,0,0,0,0,0,0,0,0,0
51,boch,15168,15168,100,0.0193,0.0491,0.0481,0.0498,0.0533,0.0597,0.0892
51,brcr,15168,0,0,0,0,0,0,0,0,0
51,btnw,15168,0,0,0,0,0,0,0,0,0
51,cawa,15168,0,0,0,0,0,0,0,0,0
51,cmwa,15168,0,0,0,0,0,0,0,0,0
51,osfl,15168,8680,57,0.0033,0.0061,0.0058,0.0069,0.0083,0.0088,0.0106
51,pigr,15168,15168,100,0.0054,0.0135,0.0137,0.0157,0.0167,0.0174,0.0519
51,rubl,15168,15104,100,0.0041,0.0163,0.0178,0.0223,0.0239,0.0258,0.0352
51,swth,15168,6344,42,0.0565,0.1457,0.1403,0.185,0.212,0.2301,0.2466
51,wwcr,15168,15168,100,0.0443,0.094,0.0926,0.1043,0.1133,0.1215,0.1948
52,blbw,27104,0,0,0,0,0,0,0,0,0
52,boch,27104,19560,72,0.0354,0.0452,0.046,0.0473,0.0479,0.0483,0.0668
52,brcr,27104,0,0,0,0,0,0,0,0,0
52,btnw,27104,0,0,0,0,0,0,0,0,0
52,cawa,27104,0,0,0,0,0,0,0,0,0
52,cmwa,27104,0,0,0,0,0,0,0,0,0
52,osfl,27104,0,0,0,0,0,0,0,0,0
52,pigr,27104,17288,64,0.0047,0.0125,0.012,0.0137,0.0144,0.0161,0.2145
52,rubl,27104,20208,75,0.0029,0.0138,0.0137,0.0192,0.0231,0.0294,0.0985
52,swth,27104,0,0,0,0,0,0,0,0,0
52,wwcr,27104,20096,74,0.0624,0.0841,0.0831,0.0919,0.0964,0.1019,0.216
53,blbw,7588,0,0,0,0,0,0,0,0,0
53,boch,7588,7588,100,0.0388,0.0469,0.0467,0.0481,0.049,0.0502,0.0689
53,brcr,7588,0,0,0,0,0,0,0,0,0
53,btnw,7588,0,0,0,0,0,0,0,0,0
53,cawa,7588,0,0,0,0,0,0,0,0,0
53,cmwa,7588,0,0,0,0,0,0,0,0,0
53,osfl,7588,0,0,0,0,0,0,0,0,0
53,pigr,7588,7588,100,0.0074,0.0112,0.0109,0.012,0.0127,0.0135,0.0602
53,rubl,7588,7588,100,0.0032,0.0084,0.006,0.008,0.017,0.026,0.053900000000000003
53,swth,7588,0,0,0,0,0,0,0,0,0
53,wwcr,7588,7588,100,0.0633,0.0763,0.0732,0.0829,0.0915,0.0982,0.1227
54,blbw,5096,0,0,0,0,0,0,0,0,0
54,boch,5096,5096,100,0.0337,0.0424,0.0418,0.0464,0.047,0.0474,0.0488
54,brcr,5096,0,0,0,0,0,0,0,0,0
54,btnw,5096,0,0,0,0,0,0,0,0,0
54,cawa,5096,0,0,0,0,0,0,0,0,0
54,cmwa,5096,0,0,0,0,0,0,0,0,0
54,osfl,5096,0,0,0,0,0,0,0,0,0
54,pigr,5096,3536,69,0.0046,0.0094,0.0078,0.0133,0.0139,0.0155,0.0302
54,rubl,5096,5096,100,0.0039,0.0111,0.0095,0.0159,0.0172,0.0179,0.0214
54,swth,5096,0,0,0,0,0,0,0,0,0
54,wwcr,5096,5096,100,0.0612,0.0825,0.0769,0.0866,0.0943,0.1287,0.2397
55,blbw,10584,0,0,0,0,0,0,0,0,0
55,boch,10584,10488,99,0.0412,0.0481,0.0481,0.0495,0.0502,0.0509,0.0671
55,brcr,10584,0,0,0,0,0,0,0,0,0
55,btnw,10584,0,0,0,0,0,0,0,0,0
55,cawa,10584,0,0,0,0,0,0,0,0,0
55,cmwa,10584,572,5,0.0039,0.0067,0.006,0.0073,0.0081,0.0103,0.0147
55,osfl,10584,1524,14,0.0034,0.0045,0.0045,0.0049,0.0051,0.0053,0.0059
55,pigr,10584,10488,99,0.0056,0.0123,0.0115,0.0129,0.0137,0.0156,0.1466
55,rubl,10584,10488,99,0.0033,0.0086,0.0081,0.0104,0.0125,0.0138,0.0187
55,swth,10584,4492,42,0.1253,0.2265,0.2338,0.2507,0.2567,0.2599,0.3077
55,wwcr,10584,10488,99,0.0631,0.0875,0.0818,0.0944,0.1063,0.1229,0.4566
56,blbw,4084,0,0,0,0,0,0,0,0,0
56,boch,4084,4084,100,0.0389,0.0475,0.0475,0.0486,0.0492,0.0498,0.0592
56,brcr,4084,0,0,0,0,0,0,0,0,0
56,btnw,4084,0,0,0,0,0,0,0,0,0
56,cawa,4084,0,0,0,0,0,0,0,0,0
56,cmwa,4084,20,0,0.0082,0.013,0.0131,0.015,0.0172,0.0183,0.0194
56,osfl,4084,2028,50,0.004,0.0049,0.0048,0.0052,0.0053,0.0054,0.0058
56,pigr,4084,4084,100,0.005,0.0086,0.0078,0.0103,0.0127,0.0146,0.0167
56,rubl,4084,4084,100,0.0042,0.0086,0.0069,0.0123,0.016,0.0179,0.0204
56,swth,4084,2196,54,0.0937,0.2201,0.2356,0.255,0.2655,0.2732,0.3038
56,wwcr,4084,4084,100,0.0626,0.0942,0.088,0.0974,0.1157,0.1637,0.3855
57,blbw,2516,0,0,0,0,0,0,0,0,0
57,boch,2516,1360,54,0.038,0.0421,0.0414,0.0444,0.0451,0.0456,0.047
57,brcr,2516,0,0,0,0,0,0,0,0,0
57,btnw,2516,0,0,0,0,0,0,0,0,0
57,cawa,2516,0,0,0,0,0,0,0,0,0
57,cmwa,2516,0,0,0,0,0,0,0,0,0
57,osfl,2516,0,0,0,0,0,0,0,0,0
57,pigr,2516,84,3,0.0122,0.0136,0.0138,0.014,0.014,0.0142,0.0156
57,rubl,2516,1972,78,0.0086,0.0241,0.0251,0.0305,0.0332,0.0361,0.0555
57,swth,2516,0,0,0,0,0,0,0,0,0
57,wwcr,2516,1000,40,0.0652,0.0717,0.0694,0.0713,0.0733,0.0891,0.177
58,blbw,1688,0,0,0,0,0,0,0,0,0
58,boch,1688,1688,100,0.0394,0.0471,0.0473,0.0481,0.0489,0.0494,0.0519
58,brcr,1688,0,0,0,0,0,0,0,0,0
58,btnw,1688,0,0,0,0,0,0,0,0,0
58,cawa,1688,0,0,0,0,0,0,0,0,0
58,cmwa,1688,76,5,0.0071,0.0181,0.0172,0.0238,0.0263,0.0287,0.0306
58,osfl,1688,980,58,0.0034,0.0044,0.0044,0.0046,0.0048,0.005,0.007
58,pigr,1688,1688,100,0.0051,0.0092,0.008,0.013,0.0135,0.0138,0.0196
58,rubl,1688,1688,100,0.0048,0.0077,0.0066,0.0098,0.0119,0.0131,0.0161
58,swth,1688,1420,84,0.1018,0.2177,0.2138,0.2734,0.2864,0.2962,0.3179
58,wwcr,1688,1688,100,0.0755,0.1118,0.0905,0.1302,0.173,0.2032,0.4436
59,blbw,6800,0,0,0,0,0,0,0,0,0
59,boch,6800,6800,100,0.0333,0.0464,0.0475,0.0486,0.0492,0.0498,0.0649
59,brcr,6800,0,0,0,0,0,0,0,0,0
59,btnw,6800,0,0,0,0,0,0,0,0,0
59,cawa,6800,0,0,0,0,0,0,0,0,0
59,cmwa,6800,0,0,0,0,0,0,0,0,0
59,osfl,6800,0,0,0,0,0,0,0,0,0
59,pigr,6800,6800,100,0.0046,0.0105,0.011,0.0129,0.0136,0.014,0.0149
59,rubl,6800,6800,100,0.0039,0.0123,0.0116,0.0161,0.0188,0.0202,0.0258
