zone,species,area,data,pct,min,mean,median,p80,p90,p95,max
50,blbw,2260,0,0,0,0,0,0,0,0,0
50,boch,2260,2256,100,0.2163,0.3643,0.3612,0.3788,0.4149,0.4635,0.5636
50,brcr,2260,0,0,0,0,0,0,0,0,0
50,btnw,2260,0,0,0,0,0,0,0,0,0
50,cawa,2260,0,0,0,0,0,0,0,0,0
50,cmwa,2260,0,0,0,0,0,0,0,0,0
50,osfl,2260,0,0,0,0,0,0,0,0,0
50,pigr,2260,2256,100,0.7217,1.7389,1.4495,2.2544,3.3252,3.5003,3.6632
50,rubl,2260,1884,83,0.934,1.6415,1.6649,1.9118,2.047,2.1926,2.7018
50,swth,2260,0,0,0,0,0,0,0,0,0
50,wwcr,2260,2256,100,0.4091,0.6164,0.5246,0.6037,0.8131,1.1897,2.8999
51,blbw,15168,0,0,0,0,0,0,0,0,0
51,boch,15168,15168,100,0.0896,0.2451,0.1937,0.233,0.3533,0.5696,1.5969
51,brcr,15168,0,0,0,0,0,0,0,0,0
51,btnw,15168,0,0,0,0,0,0,0,0,0
51,cawa,15168,0,0,0,0,0,0,0,0,0
51,cmwa,15168,0,0,0,0,0,0,0,0,0
51,osfl,15168,8680,57,0.1735,0.3344,0.3044,0.426,0.4867,0.5529,0.8537
51,pigr,15168,15168,100,0.3554,0.586,0.5405,0.6488,0.7664,0.8662,1.7706
51,rubl,15168,15104,100,0.3565,0.765,0.7107,0.9806,1.2122,1.2632,2.7166
51,swth,15168,6344,42,0.1052,0.2161,0.2097,0.2493,0.2825,0.3197,0.3871
51,wwcr,15168,15168,100,0.1935,0.3919,0.3549,0.4818,0.5551,0.6199,1.5973
52,blbw,27104,0,0,0,0,0,0,0,0,0
52,boch,27104,19560,72,0.1615,0.267,0.2353,0.3373,0.349,0.3681,1.309
52,brcr,27104,0,0,0,0,0,0,0,0,0
52,btnw,27104,0,0,0,0,0,0,0,0,0
52,cawa,27104,0,0,0,0,0,0,0,0,0
