network,ks_cmi,ks_gpp,ks_led,bc_lcc,Caribou,AllBirds,ForestBirds,AllWaterfowl,CavityNesters,GroundNesters,OverwaterNesters,blbw,boch,brcr,btnw,cawa,cmwa,osfl,pigr,rubl,swth,wwcr,rep
PB_26564_PB_53799,0.118,0.049,0.086,0.06,0.159,0.124,0.276,0.18,0.21,0.218,0.216,0.092,0.219,0.221,0.159,0.202,0.11,0.351,0.33,0.149,0.317,0.274,1
PB_26564_PB_57574,0.117,0.04,0.072,0.078,0.167,0.155,0.268,0.184,0.202,0.225,0.167,0.095,0.219,0.243,0.159,0.171,0.117,0.334,0.299,0.149,0.271,0.281,1
PB_27523_PB_53799,0.116,0.049,0.091,0.06,0.159,0.124,0.276,0.18,0.21,0.218,0.216,0.092,0.219,0.221,0.159,0.202,0.11,0.351,0.33,0.149,0.317,0.274,1
PB_27523_PB_57574,0.114,0.039,0.075,0.077,0.167,0.155,0.268,0.184,0.202,0.225,0.167,0.095,0.219,0.243,0.159,0.171,0.117,0.334,0.299,0.149,0.271,0.281,1
PB_28445_PB_42455,0.136,0.071,0.139,0.115,0.167,0.201,0.202,0.205,0.113,0.223,0.242,0.126,0.153,0.174,0.214,0.231,0.218,0.168,0.069,0.277,0.222,0.205,1
PB_28445_PB_42550,0.156,0.083,0.132,0.085,0.163,0.212,0.188,0.197,0.127,0.22,0.236,0.106,0.161,0.172,0.224,0.247,0.22,0.174,0.09,0.28,0.22,0.204,1
PB_28463_PB_42455,0.18,0.138,0.152,0.143,0.115,0.161,0.275,0.206,0.22,0.235,0.259,0.086,0.132,0.226,0.064,0.205,0.157,0.245,0.193,0.126,0.301,0.151,1
PB_29200_PB_53799,0.081,0.042,0.066,0.052,0.093,0.199,0.335,0.163,0.206,0.15,0.197,0.072,0.241,0.214,0.124,0.133,0.082,0.37,0.335,0.085,0.325,0.214,1
PB_29215_PB_42455,0.131,0.069,0.131,0.12,0.181,0.176,0.233,0.171,0.14,0.204,0.212,0.127,0.154,0.196,0.192,0.235,0.203,0.158,0.064,0.246,0.226,0.206,1
PB_29215_PB_42550,0.15,0.083,0.125,0.092,0.177,0.185,0.221,0.169,0.154,0.204,0.205,0.108,0.161,0.207,0.201,0.258,0.204,0.167,0.094,0.247,0.227,0.205,1
PB_29363_PB_42455,0.191,0.148,0.162,0.135,0.134,0.293,0.374,0.157,0.234,0.18,0.22,0.092,0.075,0.205,0.07,0.213,0.2,0.254,0.234,0.193,0.338,0.137,1
PB_32634_PB_48523,0.171,0.036,0.082,0.097,0.159,0.286,0.398,0.174,0.253,0.184,0.143,0.063,0.149,0.124,0.13,0.24,0.162,0.344,0.244,0.165,0.31,0.21,1
PB_32634_PB_56250,0.169,0.074,0.085,0.082,0.092,0.237,0.252,0.222,0.254,0.204,0.251,0.048,0.08,0.099,0.11,0.177,0.264,0.374,0.426,0.362,0.356,0.151,1
PB_39898_PB_74528,0.196,0.037,0.153,0.155,0.146,0.204,0.16,0.146,0.239,0.187,0.124,0.138,0.166,0.306,0.269,0.22,0.263,0.123,0.195,0.184,0.237,0.259,1
PB_42455_PB_71645,0.191,0.047,0.07,0.138,0.123,0.17,0.205,0.189,0.238,0.157,0.195,0.249,0.283,0.36,0.295,0.241,0.144,0.138,0.207,0.097,0.144,0.198,1
PB_42455_PB_75878,0.138,0.096,0.094,0.116,0.225,0.28,0.308,0.418,0.269,0.428,0.377,0.091,0.195,0.271,0.151,0.154,0.206,0.196,0.244,0.136,0.129,0.162,1
PB_42455_PB_77822,0.159,0.075,0.128,0.128,0.23,0.309,0.335,0.324,0.237,0.308,0.299,0.099,0.262,0.295,0.163,0.11,0.154,0.18,0.176,0.134,0.114,0.203,1
PB_42455_PB_82223,0.125,0.11,0.067,0.141,0.211,0.314,0.313,0.394,0.264,0.417,0.335,0.091,0.143,0.315,0.153,0.176,0.151,0.211,0.257,0.132,0.147,0.18,1
PB_42550_PB_57411,0.164,0.075,0.137,0.054,0.224,0.179,0.184,0.255,0.159,0.271,0.26,0.128,0.344,0.175,0.235,0.235,0.174,0.205,0.107,0.3,0.139,0.159,1
PB_42550_PB_69305,0.191,0.042,0.075,0.129,0.143,0.179,0.193,0.229,0.225,0.197,0.219,0.2,0.301,0.36,0.295,0.229,0.156,0.115,0.212,0.143,0.156,0.172,1
PB_42968_PB_80763,0.17,0.101,0.187,0.099,0.209,0.322,0.347,0.381,0.26,0.341,0.355,0.117,0.278,0.358,0.176,0.132,0.186,0.186,0.222,0.133,0.121,0.238,1
PB_24111_PB_24292,0.686,0.497,0.251,0.359,0.272,0.255,0.089,0.429,0.432,0.441,0.471,0.105,0.544,0.611,0.493,0.266,0.233,0.445,0.541,0.673,0.936,0.774,0
PB_24111_PB_24750,0.697,0.477,0.232,0.359,0.274,0.262,0.086,0.408,0.439,0.425,0.452,0.103,0.542,0.622,0.511,0.279,0.24,0.4,0.575,0.682,0.936,0.778,0
PB_24111_PB_25234,0.706,0.445,0.24,0.339,0.272,0.272,0.071,0.419,0.409,0.434,0.462,0.091,0.55,0.633,0.532,0.305,0.256,0.356,0.61,0.682,0.917,0.784,0
PB_24111_PB_33317,0.63,0.276,0.238,0.255,0.279,0.407,0.243,0.429,0.221,0.434,0.476,0.193,0.508,0.424,0.572,0.367,0.274,0.305,0.306,0.706,0.479,0.562,0
PB_24111_PB_37212,0.271,0.383,0.232,0.253,0.261,0.263,0.312,0.306,0.327,0.298,0.353,0.171,0.427,0.256,0.249,0.126,0.291,0.414,0.391,0.325,0.682,0.354,0
PB_24111_PB_39898,0.235,0.328,0.206,0.221,0.265,0.302,0.351,0.275,0.267,0.237,0.331,0.15,0.334,0.22,0.191,0.144,0.241,0.388,0.266,0.282,0.547,0.3,0
PB_24111_PB_40399,0.258,0.419,0.213,0.303,0.188,0.256,0.158,0.52,0.317,0.523,0.555,0.158,0.318,0.202,0.119,0.133,0.304,0.285,0.404,0.307,0.622,0.329,0
PB_24111_PB_40593,0.251,0.313,0.235,0.256,0.237,0.373,0.212,0.468,0.297,0.456,0.507,0.055,0.111,0.182,0.098,0.17,0.227,0.28,0.336,0.302,0.56,0.329,0
PB_24111_PB_41874,0.267,0.433,0.212,0.309,0.205,0.24,0.096,0.51,0.315,0.508,0.544,0.14,0.308,0.196,0.12,0.131,0.295,0.292,0.383,0.316,0.628,0.339,0
PB_24111_PB_42455,0.215,0.292,0.273,0.242,0.185,0.324,0.17,0.483,0.206,0.471,0.519,0.081,0.097,0.149,0.108,0.176,0.161,0.253,0.272,0.337,0.464,0.292,0
PB_24111_PB_44551,0.255,0.378,0.246,0.272,0.272,0.349,0.186,0.476,0.372,0.466,0.512,0.099,0.127,0.187,0.102,0.128,0.179,0.285,0.31,0.307,0.496,0.352,0
PB_24111_PB_45275,0.271,0.278,0.234,0.242,0.213,0.231,0.151,0.413,0.323,0.432,0.454,0.087,0.157,0.239,0.116,0.199,0.239,0.3,0.21,0.384,0.517,0.39,0
PB_24111_PB_60061,0.471,0.394,0.344,0.202,0.268,0.114,0.075,0.486,0.111,0.5,0.5,0.163,0.18,0.318,0.239,0.136,0.191,0.292,0.205,0.316,0.506,0.492,0
PB_24111_PB_84899,0.486,0.235,0.207,0.276,0.278,0.331,0.36,0.155,0.144,0.2,0.143,0.151,0.395,0.367,0.335,0.379,0.301,0.302,0.389,0.399,0.492,0.326,0
PB_24292_PB_24750,0.758,0.371,0.202,0.364,0.302,0.308,0.094,0.389,0.498,0.4,0.43,0.133,0.585,0.749,0.666,0.392,0.348,0.368,0.738,0.657,0.936,0.808,0
PB_24292_PB_24795,0.759,0.373,0.205,0.361,0.302,0.311,0.092,0.39,0.5,0.402,0.431,0.126,0.586,0.749,0.667,0.394,0.353,0.374,0.741,0.658,0.936,0.808,0
PB_24292_PB_25234,0.763,0.341,0.215,0.336,0.302,0.332,0.115,0.4,0.432,0.413,0.439,0.132,0.585,0.749,0.675,0.409,0.398,0.427,0.765,0.659,0.911,0.809,0
PB_24292_PB_37402,0.289,0.317,0.221,0.226,0.287,0.243,0.273,0.286,0.318,0.279,0.332,0.163,0.391,0.29,0.229,0.165,0.292,0.185,0.546,0.262,0.702,0.327,0
PB_24292_PB_40399,0.278,0.34,0.206,0.303,0.204,0.294,0.169,0.498,0.299,0.494,0.52,0.215,0.307,0.256,0.195,0.102,0.343,0.402,0.555,0.334,0.608,0.314,0
PB_24292_PB_40593,0.27,0.24,0.23,0.26,0.243,0.352,0.177,0.444,0.273,0.435,0.479,0.076,0.124,0.25,0.188,0.201,0.132,0.102,0.471,0.251,0.556,0.316,0
PB_24292_PB_41596,0.292,0.355,0.229,0.307,0.182,0.306,0.156,0.487,0.305,0.474,0.517,0.192,0.277,0.272,0.211,0.093,0.263,0.363,0.501,0.271,0.565,0.331,0
PB_24292_PB_42455,0.231,0.223,0.251,0.238,0.186,0.296,0.133,0.462,0.196,0.447,0.495,0.104,0.101,0.214,0.152,0.195,0.068,0.09,0.39,0.293,0.453,0.276,0
