network,ks_cmi,ks_gpp,ks_led,bc_lcc,distance,sumGap90,mdr,intact,intact_eco,coverage,overlap,net_km2,eco_km2,AllBirds,ForestBirds,AllWaterfowl,CavityNesters,GroundNesters,OverwaterNesters,blbw,boch,brcr,btnw,cawa,cmwa,osfl,pigr,rubl,swth,wwcr,ecoregion,ecoprovince
PB_43519_PB_123222,0.332,0.047,0.117,0.072,0.181,2,841,1.001,0.998,0.981,0.99,1697,136899,0.373,0.354,0.274,0.31,0.366,0.1,0.386,0.15,0.272,0.201,0.187,0.475,0.341,0.34,0.396,0.384,0.478,68,5.1
PB_109896_PB_91378,0.383,0.153,0.077,0.244,0.243,2,841,1,0.998,0.995,1.008,1701,136899,0.41,0.419,0.29,0.197,0.22,0.238,0.465,0.325,0.247,0.372,0.632,0.524,0.368,0.192,0.388,0.366,0.425,68,5.1
PB_141111_PB_152874,0.488,0.171,0.186,0.329,0.32,5,841,0.955,0.998,0.952,0.965,1707,136899,0.549,0.667,0.362,0.329,0.601,0.323,0.175,0.548,0.367,0.117,0.194,0.293,0.319,0.546,0.27,0.637,0.257,68,5.1
PB_50038_PB_117605,0.252,0.065,0.088,0.138,0.154,2,841,1.001,0.998,1,1.016,1706,136899,0.191,0.235,0.154,0.162,0.183,0.212,0.284,0.414,0.369,0.45,0.259,0.357,0.259,0.274,0.422,0.24,0.273,68,5.1
PB_132130_PB_136570,0.38,0.087,0.194,0.201,0.24,5,841,0.999,0.998,0.997,0.998,1682,136899,0.346,0.328,0.583,0.387,0.586,0.206,0.252,0.159,0.399,0.424,0.34,0.429,0.396,0.341,0.172,0.348,0.379,68,5.1
PB_50571_PB_94908,0.71,0.175,0.306,0.381,0.44,9,841,1.003,0.998,1,1.046,1759,136899,0.689,0.712,0.195,0.317,0.19,0.366,0.312,0.432,0.221,0.429,0.285,0.381,0.696,0.172,0.408,0.652,0.404,68,5.1
PB_110375_PB_123520,0.488,0.114,0.242,0.347,0.328,6,841,0.994,0.998,0.991,0.993,1683,136899,0.627,0.743,0.11,0.524,0.207,0.221,0.143,0.68,0.518,0.298,0.315,0.356,0.522,0.706,0.656,0.705,0.613,68,5.1
PB_129921_PB_135779,0.275,0.03,0.095,0.176,0.171,3,841,0.997,0.998,0.928,0.944,1708,136899,0.166,0.293,0.19,0.279,0.192,0.264,0.306,0.233,0.489,0.534,0.359,0.437,0.349,0.324,0.266,0.297,0.329,68,5.1
PB_68933_PB_175701,0.25,0.094,0.154,0.257,0.201,6,841,1.005,0.998,1,1.042,1748,136899,0.289,0.315,0.402,0.242,0.295,0.442,0.201,0.287,0.406,0.364,0.335,0.241,0.373,0.496,0.243,0.325,0.234,68,5.1
PB_73035_PB_136570,0.297,0.148,0.201,0.212,0.221,4,841,0.997,0.998,0.997,1,1685,136899,0.385,0.394,0.489,0.243,0.683,0.123,0.234,0.398,0.249,0.134,0.293,0.322,0.407,0.465,0.444,0.387,0.114,68,5.1
