network,ks_cmi,ks_gpp,ks_led,bc_lcc,Caribou,AllBirds,ForestBirds,AllWaterfowl,CavityNesters,GroundNesters,OverwaterNesters,blbw,boch,brcr,btnw,cawa,cmwa,osfl,pigr,rubl,swth,wwcr,rep,ecoregion,ecoprovince
PB_12415_PB_37399_PB_68486,0.174,0.129,0.169,0.152,0.365,0.2,0.194,0.22,0.215,0.275,0.217,0.168,0.302,0.154,0.165,0.211,0.079,0.35,0.19,0.29,0.187,0.357,1,108,6.4
PB_13862_PB_69252_PB_215922,0.151,0.08,0.128,0.106,0.327,0.169,0.16,0.169,0.238,0.198,0.131,0.177,0.183,0.156,0.133,0.207,0.132,0.156,0.103,0.209,0.232,0.185,1,108,6.4
PB_15498_PB_30062_PB_68486,0.193,0.122,0.128,0.185,0.468,0.187,0.177,0.314,0.224,0.392,0.358,0.186,0.285,0.159,0.195,0.208,0.076,0.329,0.25,0.273,0.253,0.276,1,108,6.4
PB_15498_PB_32925_PB_68486,0.179,0.112,0.142,0.164,0.468,0.146,0.151,0.297,0.223,0.358,0.354,0.169,0.243,0.155,0.191,0.103,0.076,0.325,0.183,0.231,0.19,0.253,1,108,6.4
PB_15498_PB_37399_PB_68486,0.165,0.127,0.112,0.153,0.468,0.183,0.177,0.235,0.23,0.225,0.224,0.17,0.254,0.156,0.221,0.117,0.136,0.326,0.151,0.242,0.192,0.31,1,108,6.4
PB_15498_PB_68486_PB_215913,0.174,0.058,0.16,0.126,0.468,0.231,0.217,0.17,0.106,0.176,0.271,0.174,0.235,0.16,0.172,0.164,0.195,0.33,0.226,0.223,0.23,0.246,1,108,6.4
PB_15795_PB_68486_PB_215913,0.166,0.11,0.128,0.165,0.29,0.222,0.208,0.23,0.274,0.217,0.274,0.175,0.216,0.161,0.145,0.146,0.314,0.284,0.213,0.204,0.221,0.228,1,108,6.4
PB_17890_PB_30062_PB_68486,0.194,0.144,0.198,0.198,0.468,0.187,0.177,0.314,0.224,0.449,0.352,0.186,0.285,0.159,0.195,0.208,0.093,0.32,0.25,0.273,0.253,0.276,1,108,6.4
PB_17890_PB_32925_PB_68486,0.18,0.134,0.154,0.169,0.468,0.146,0.146,0.297,0.223,0.403,0.352,0.228,0.243,0.155,0.191,0.103,0.136,0.295,0.183,0.231,0.19,0.253,1,108,6.4
PB_17890_PB_37399_PB_68486,0.166,0.148,0.131,0.164,0.468,0.183,0.177,0.235,0.23,0.292,0.224,0.203,0.254,0.156,0.221,0.117,0.19,0.314,0.151,0.242,0.192,0.31,1,108,6.4
PB_17890_PB_68486_PB_215913,0.176,0.078,0.116,0.16,0.468,0.231,0.217,0.17,0.134,0.217,0.264,0.174,0.235,0.16,0.172,0.164,0.284,0.325,0.226,0.223,0.23,0.269,1,108,6.4
PB_19791_PB_68486_PB_215913,0.185,0.071,0.117,0.116,0.373,0.263,0.249,0.329,0.353,0.263,0.269,0.199,0.297,0.211,0.166,0.226,0.27,0.369,0.268,0.285,0.262,0.308,1,108,6.4
PB_19807_PB_40690_PB_69252,0.148,0.082,0.1,0.107,0.566,0.162,0.174,0.259,0.299,0.19,0.144,0.207,0.226,0.148,0.196,0.179,0.199,0.104,0.29,0.201,0.175,0.275,1,108,6.4
PB_28779_PB_39098_PB_69252,0.151,0.101,0.075,0.115,0.326,0.183,0.184,0.208,0.276,0.154,0.181,0.167,0.278,0.251,0.153,0.163,0.134,0.118,0.26,0.273,0.313,0.27,1,108,6.4
PB_30062_PB_49789_PB_68486,0.198,0.076,0.123,0.137,NaN,0.299,0.304,0.336,0.367,0.185,0.32,0.302,0.413,0.289,0.156,0.392,0.091,0.337,0.4,0.511,0.27,0.353,1,108,6.4
PB_30062_PB_68486_PB_215838,0.187,0.184,0.103,0.191,0.225,0.161,0.151,0.324,0.201,0.429,0.361,0.176,0.227,0.162,0.142,0.182,0.111,0.289,0.227,0.215,0.23,0.218,1,108,6.4
PB_32925_PB_68486_PB_215838,0.174,0.175,0.124,0.176,0.225,0.117,0.117,0.31,0.242,0.387,0.357,0.172,0.182,0.158,0.142,0.106,0.138,0.289,0.163,0.169,0.196,0.198,1,108,6.4
PB_37399_PB_49789_PB_68486,0.169,0.095,0.153,0.114,NaN,0.248,0.253,0.343,0.367,0.256,0.33,0.248,0.413,0.284,0.164,0.389,0.126,0.35,0.4,0.504,0.187,0.379,1,108,6.4
PB_37399_PB_68486_PB_215838,0.16,0.176,0.08,0.184,0.225,0.162,0.156,0.254,0.248,0.283,0.237,0.173,0.194,0.159,0.142,0.099,0.151,0.289,0.119,0.192,0.198,0.252,1,108,6.4
PB_40690_PB_69252_PB_24675,0.174,0.085,0.053,0.072,0.566,0.147,0.147,0.249,0.293,0.212,0.199,0.162,0.171,0.254,0.187,0.3,0.167,0.137,0.199,0.271,0.173,0.194,1,108,6.4
PB_6170_PB_32925_PB_68486,0.159,0.114,0.184,0.193,0.161,0.144,0.129,0.31,0.242,0.418,0.357,0.172,0.189,0.242,0.194,0.106,0.101,0.251,0.163,0.169,0.196,0.198,1,108,6.4
PB_6170_PB_37399_PB_68486,0.159,0.08,0.185,0.186,0.161,0.192,0.156,0.254,0.248,0.313,0.237,0.173,0.194,0.232,0.227,0.099,0.1,0.269,0.13,0.192,0.198,0.252,1,108,6.4
PB_6170_PB_68486_PB_215913,0.162,0.06,0.124,0.173,0.161,0.232,0.191,0.191,0.132,0.243,0.28,0.177,0.194,0.196,0.177,0.117,0.19,0.276,0.19,0.17,0.205,0.195,1,108,6.4
PB_6598_PB_68486_PB_215913,0.189,0.081,0.135,0.094,0.548,0.263,0.249,0.199,0.236,0.166,0.26,0.203,0.297,0.214,0.168,0.226,0.206,0.369,0.268,0.285,0.262,0.308,1,108,6.4
PB_68486_PB_215838_PB_215913,0.182,0.107,0.143,0.163,0.225,0.205,0.191,0.191,0.151,0.216,0.28,0.177,0.182,0.163,0.142,0.117,0.241,0.289,0.19,0.17,0.225,0.195,1,108,6.4
PB_8257_PB_68486_PB_215922,0.158,0.139,0.172,0.167,0.298,0.16,0.15,0.152,0.243,0.19,0.204,0.171,0.201,0.157,0.149,0.199,0.12,0.149,0.167,0.253,0.194,0.224,1,108,6.4
PB_10158_PB_15021_PB_49789,0.395,0.268,0.208,0.402,0.353,0.308,0.305,0.334,0.418,0.252,0.402,0.447,0.486,0.356,0.532,0.281,0.396,0.504,0.305,0.193,0.416,0.466,0,108,6.4
PB_10158_PB_79007_PB_81077,0.203,0.314,0.233,0.353,0.435,0.445,0.427,0.41,0.426,0.587,0.369,0.249,0.284,0.31,0.197,0.228,0.207,0.263,0.19,0.175,0.255,0.198,0,108,6.4
PB_10681_PB_13862_PB_70561,0.205,0.205,0.234,0.213,0.293,0.223,0.217,0.298,0.265,0.438,0.333,0.27,0.291,0.425,0.148,0.329,0.143,0.289,0.297,0.404,0.218,0.232,0,108,6.4
PB_10681_PB_29229_PB_84903,0.221,0.205,0.384,0.29,0.143,0.389,0.396,0.389,0.326,0.458,0.191,0.378,0.306,0.42,0.199,0.377,0.226,0.273,0.319,0.354,0.231,0.197,0,108,6.4
PB_10681_PB_30062_PB_68454,0.326,0.249,0.254,0.231,0.321,0.241,0.231,0.279,0.272,0.47,0.335,0.24,0.294,0.176,0.291,0.262,0.197,0.367,0.298,0.155,0.301,0.293,0,108,6.4
PB_10681_PB_42279_PB_78768,0.253,0.212,0.406,0.229,0.321,0.317,0.309,0.136,0.23,0.223,0.125,0.28,0.242,0.433,0.32,0.224,0.172,0.303,0.198,0.248,0.279,0.184,0,108,6.4
PB_10681_PB_44507_PB_53022,0.354,0.223,0.22,0.211,0.321,0.33,0.328,0.225,0.148,0.198,0.399,0.371,0.518,0.454,0.343,0.224,0.258,0.326,0.394,0.328,0.401,0.364,0,108,6.4
PB_11879_PB_13359_PB_215820,0.487,0.401,0.441,0.281,0.259,0.325,0.33,0.631,0.626,0.597,0.502,0.45,0.665,0.366,0.496,0.642,0.468,0.483,0.71,0.635,0.459,0.578,0,108,6.4
PB_11879_PB_21407_PB_28779,0.377,0.247,0.306,0.247,0.206,0.322,0.322,0.571,0.666,0.323,0.495,0.38,0.547,0.385,0.378,0.595,0.432,0.463,0.586,0.554,0.375,0.512,0,108,6.4
PB_11879_PB_37399_PB_68683,0.223,0.279,0.405,0.214,0.365,0.23,0.224,0.17,0.18,0.224,0.209,0.171,0.241,0.102,0.215,0.187,0.148,0.295,0.187,0.276,0.211,0.293,0,108,6.4
PB_11985_PB_13632_PB_21407,0.413,0.263,0.203,0.309,0.237,0.331,0.331,0.551,0.622,0.281,0.563,0.389,0.568,0.334,0.378,0.599,0.294,0.51,0.651,0.632,0.375,0.563,0,108,6.4
