ecozone,ecoregion,nets_rep,nets_nonrep,species,density_mean,density_cv,cmi_coef,cmi_tstat,gpp_coef,gpp_tstat,led_coef,led_tstat,lcc_coef,lcc_tstat,r2,rmse,pval,cmi_p,gpp_p,led_p,lcc_p
4,51,49,192,caribou,NA,NA,-0.532,-3.08,-0.085,-0.28,-0.171,-0.59,1.176,4.55,0.540,0.062,0.0000,0.0023,0.7815,0.5588,0.0000
4,52,357,141,caribou,NA,NA,0.010,0.43,0.110,3.63,0.083,2.61,0.391,10.51,0.587,0.033,0.0000,0.6658,0.0003,0.0093,0.0000
4,53,76,500,caribou,NA,NA,-0.265,-8.06,-0.822,-13.25,0.787,14.39,0.493,6.72,0.667,0.040,0.0000,0.0000,0.0000,0.0000,0.0000
4,55,21,145,caribou,NA,NA,-0.032,-0.62,0.701,6.84,0.185,1.71,-0.386,-2.76,0.316,0.091,0.0000,0.5353,0.0000,0.0885,0.0064
4,59,500,152,caribou,NA,NA,0.169,4.80,-0.134,-2.56,0.155,3.61,0.058,1.01,0.170,0.063,0.0000,0.0000,0.0107,0.0003,0.3106
4,60,470,93,caribou,NA,NA,0.089,5.35,0.052,5.43,-0.048,-3.42,0.132,10.05,0.482,0.014,0.0000,0.0000,0.0000,0.0007,0.0000
4,62,41,80,caribou,NA,NA,-0.175,-4.20,0.525,10.54,0.180,1.76,-0.234,-3.48,0.672,0.027,0.0000,0.0001,0.0000,0.0817,0.0007
5,68,233,208,caribou,NA,NA,-0.022,-0.26,-0.339,-1.56,0.478,4.47,0.268,1.78,0.296,0.074,0.0002,0.7947,0.1248,0.0000,0.0812
5,69,500,500,caribou,NA,NA,0.257,4.53,0.701,7.25,0.380,2.81,-1.426,-7.43,0.334,0.120,0.0000,0.0000,0.0000,0.0052,0.0000
5,70,500,129,caribou,NA,NA,-0.334,-1.00,1.495,1.05,-1.165,-0.85,-0.913,-0.91,-0.107,0.113,0.5884,0.3555,0.3358,0.4268,0.3956
5,71,500,167,caribou,NA,NA,-0.331,-5.81,0.186,2.22,-0.285,-2.99,0.485,4.05,0.177,0.082,0.0000,0.0000,0.0273,0.0030,0.0001
5,72,500,210,caribou,NA,NA,0.265,12.59,0.344,8.21,0.355,9.35,-0.056,-0.87,0.909,0.036,0.0000,0.0000,0.0000,0.0000,0.3842
5,74,500,173,caribou,NA,NA,0.101,2.99,-0.211,-3.58,0.097,2.27,-0.110,-1.68,0.020,0.068,0.0015,0.0029,0.0004,0.0235,0.0925
5,77,500,398,caribou,NA,NA,0.151,5.92,0.357,6.66,-0.070,-1.40,-0.005,-0.10,0.389,0.076,0.0000,0.0000,0.0000,0.1615,0.9235
5,78,500,365,caribou,NA,NA,0.159,6.56,-0.005,-0.14,-0.090,-2.35,0.192,6.87,0.218,0.061,0.0000,0.0000,0.8920,0.0190,0.0000
5,80,69,419,caribou,NA,NA,0.079,1.76,0.578,8.88,-0.204,-3.38,-0.482,-5.52,0.203,0.103,0.0000,0.0795,0.0000,0.0008,0.0000
6A,87,121,36,caribou,NA,NA,-0.216,-4.66,0.351,5.42,-0.294,-3.09,0.967,8.91,0.504,0.033,0.0000,0.0000,0.0000,0.0024,0.0000
6A,88,500,29,caribou,NA,NA,-0.219,-5.02,0.434,8.76,0.220,3.67,0.080,1.10,0.251,0.053,0.0000,0.0000,0.0000,0.0003,0.2717
6A,89,500,28,caribou,NA,NA,-0.002,-0.05,-0.007,-0.17,0.407,7.35,0.482,7.15,0.394,0.049,0.0000,0.9640,0.8623,0.0000,0.0000
6A,90,500,101,caribou,NA,NA,0.247,10.55,-0.069,-1.34,0.139,3.52,0.064,1.02,0.525,0.043,0.0000,0.0000,0.1801,0.0005,0.3080
6A,94,251,500,caribou,NA,NA,0.013,0.67,1.005,33.68,-0.124,-7.02,0.125,2.49,0.965,0.037,0.0000,0.5053,0.0000,0.0000,0.0132
6A,95,500,109,caribou,NA,NA,-0.090,-2.21,-0.077,-1.42,0.032,0.57,1.057,13.00,0.523,0.061,0.0000,0.0272,0.1557,0.5712,0.0000
6A,100,500,500,caribou,NA,NA,0.344,11.55,1.437,29.60,-0.439,-15.48,-0.284,-3.64,0.813,0.063,0.0000,0.0000,0.0000,0.0000,0.0003
6A,103,500,78,caribou,NA,NA,-0.031,-0.91,0.237,4.05,0.093,1.48,-0.079,-1.04,0.057,0.066,0.0000,0.3652,0.0001,0.1402,0.3003
6A,104,26,13,caribou,NA,NA,-0.432,-2.41,1.605,6.86,0.891,2.68,0.523,0.84,0.925,0.056,0.0000,0.0215,0.0000,0.0111,0.4067
6A,105,500,305,caribou,NA,NA,0.343,7.50,0.320,6.73,-0.016,-0.23,-0.036,-0.49,0.451,0.093,0.0000,0.0000,0.0000,0.8200,0.6225
9,136,31,49,caribou,NA,NA,0.723,6.47,-0.029,-0.23,-0.026,-0.21,-0.170,-0.57,0.788,0.055,0.0000,0.0000,0.8198,0.8373,0.5724
15,215,265,500,caribou,NA,NA,0.188,5.86,0.020,0.35,-0.102,-2.36,-0.045,-0.61,0.047,0.117,0.0000,0.0000,0.7285,0.0185,0.5390
15,216,500,500,caribou,NA,NA,-0.152,-5.11,0.514,11.39,0.115,2.05,0.367,4.58,0.423,0.103,0.0000,0.0000,0.0000,0.0408,0.0000
15,217,500,234,caribou,NA,NA,0.052,2.00,0.264,6.14,0.047,1.10,-0.112,-1.88,0.154,0.067,0.0000,0.0464,0.0000,0.2731,0.0612
4,51,49,192,allbirds,NA,NA,0.714,3.87,-0.148,-0.45,-2.581,-8.25,1.757,6.36,0.783,0.066,0.0000,0.0001,0.6521,0.0000,0.0000
4,52,357,141,allbirds,NA,NA,0.006,0.11,0.175,2.19,0.077,0.91,0.972,9.86,0.468,0.088,0.0000,0.9140,0.0293,0.3617,0.0000
4,53,76,500,allbirds,NA,NA,1.091,24.75,0.133,1.63,0.010,0.14,-1.455,-15.14,0.790,0.053,0.0000,0.0000,0.1033,0.8887,0.0000
4,55,21,145,allbirds,NA,NA,0.076,1.51,-0.055,-0.55,0.049,0.47,0.389,2.86,0.108,0.088,0.0002,0.1327,0.5838,0.6400,0.0048
4,59,500,152,allbirds,NA,NA,0.659,21.22,0.350,7.44,-0.010,-0.25,-0.100,-1.91,0.740,0.057,0.0000,0.0000,0.0000,0.8000,0.0571
4,60,470,93,allbirds,NA,NA,0.157,2.11,0.752,17.46,0.394,6.28,-0.373,-6.37,0.637,0.064,0.0000,0.0354,0.0000,0.0000,0.0000
4,62,41,80,allbirds,NA,NA,0.190,1.59,0.275,1.93,0.293,1.00,-0.697,-3.62,0.392,0.076,0.0000,0.1142,0.0564,0.3192,0.0004
5,68,233,208,allbirds,NA,NA,0.743,22.82,-0.069,-1.09,-0.180,-5.72,0.398,6.23,0.889,0.066,0.0000,0.0000,0.2776,0.0000,0.0000
5,69,500,500,allbirds,NA,NA,-0.045,-2.15,0.519,13.26,0.437,8.09,0.991,14.03,0.890,0.069,0.0000,0.0321,0.0000,0.0000,0.0000
5,70,500,129,allbirds,NA,NA,0.110,2.49,-0.532,-6.51,0.041,0.50,1.138,16.50,0.484,0.087,0.0000,0.0132,0.0000,0.6139,0.0000
5,71,500,167,allbirds,NA,NA,0.204,5.82,0.950,17.66,0.073,1.12,0.252,3.05,0.781,0.077,0.0000,0.0000,0.0000,0.2645,0.0024
5,72,500,210,allbirds,NA,NA,0.098,3.09,-0.053,-0.88,-0.093,-1.66,0.469,4.92,0.245,0.055,0.0000,0.0021,0.3802,0.0965,0.0000
5,74,500,173,allbirds,NA,NA,0.023,0.53,0.276,3.70,0.047,0.86,0.207,2.45,0.195,0.088,0.0000,0.5938,0.0002,0.3901,0.0144
5,77,500,398,allbirds,NA,NA,-0.163,-6.23,0.138,2.48,0.101,1.94,0.624,12.23,0.455,0.079,0.0000,0.0000,0.0133,0.0526,0.0000
5,78,500,365,allbirds,NA,NA,0.058,1.33,0.483,7.04,0.178,2.49,0.287,5.69,0.471,0.110,0.0000,0.1828,0.0000,0.0130,0.0000
5,80,69,419,allbirds,NA,NA,-0.280,-4.45,0.860,9.46,-0.035,-0.41,-0.159,-1.30,0.230,0.143,0.0000,0.0000,0.0000,0.6809,0.1940
6A,87,121,36,allbirds,NA,NA,0.206,2.50,0.636,5.53,-0.137,-0.81,-0.635,-3.29,0.378,0.058,0.0000,0.0136,0.0000,0.4214,0.0012
6A,88,500,29,allbirds,NA,NA,0.335,4.75,0.279,3.61,0.255,2.67,-0.266,-2.30,0.263,0.084,0.0000,0.0000,0.0003,0.0079,0.0217
6A,89,500,28,allbirds,NA,NA,-0.118,-2.14,0.619,11.88,-0.263,-3.67,0.220,2.55,0.295,0.063,0.0000,0.0330,0.0000,0.0003,0.0109
6A,90,500,101,allbirds,NA,NA,0.218,7.14,0.330,4.85,0.466,9.45,-0.316,-3.62,0.554,0.054,0.0000,0.0000,0.0000,0.0000,0.0003
