ecozone,ecoregion,caribou,blbw,boch,brcr,btnw,cawa,cmwa,osfl,pigr,rubl,swth,wwcr,allbirds,forestbirds,allwaterfowl,cavitynesters,groundnesters,overwaternesters
4,51,0.54,NA,0.878,NA,NA,NA,NA,0.501,0.573,0.486,0.973,0.697,0.783,0.824,0.306,0.649,0.394,0.435
4,52,0.587,NA,0.546,NA,NA,NA,NA,NA,0.624,0.49,NA,0.635,0.468,0.523,0.066,0.637,0.112,0.036
4,53,0.667,NA,0.817,NA,NA,NA,NA,NA,0.865,0.845,NA,0.731,0.79,0.496,0.964,0.589,0.94,0.971
4,55,0.316,NA,0.261,NA,NA,NA,0.218,0.127,0.466,0.494,0.504,0.445,0.108,0.073,0.4,0.24,0.447,0.355
4,59,0.17,NA,0.251,NA,NA,NA,NA,NA,0.875,0.798,0.713,0.129,0.74,0.584,0.03,0.091,0.082,0.001
4,60,0.482,NA,0.266,NA,NA,NA,0.023,0.216,0.516,0.629,0.429,0.176,0.637,0.714,0.619,0.502,0.554,0.666
4,62,0.672,NA,0.637,NA,NA,0.977,NA,0.648,0.967,0.512,0.875,0.581,0.392,0.655,0.629,0.31,0.559,0.43
5,68,0.296,NA,0.097,NA,NA,NA,NA,NA,0.17,0.011,0.866,0.134,0.889,0.794,0.05,0.599,0.052,0.376
5,69,0.334,NA,0.593,NA,NA,NA,0.274,0.932,0.564,0.782,0.905,0.744,0.89,0.897,0.73,0.864,0.521,0.681
5,70,-0.107,NA,0.35,NA,NA,NA,NA,NA,0.278,0.497,0.44,0.562,0.484,0.393,0.256,0.162,0.204,0.266
5,71,0.177,NA,0.431,NA,NA,NA,0.51,0.752,0.405,0.849,0.438,0.735,0.781,0.767,0.11,0.083,0.108,0.078
5,72,0.909,NA,0.847,0.661,NA,NA,NA,0.923,0.672,0.169,0.915,0.819,0.245,0.371,0.782,0.727,0.959,0.589
5,74,0.02,NA,0.184,0.403,NA,NA,NA,0.201,0.502,0.502,0.572,0.822,0.195,0.268,0.101,0.411,0.486,0.728
5,77,0.389,NA,0.517,NA,NA,NA,NA,NA,0.221,0.839,0.757,0.17,0.455,0.603,0.61,0.414,0.517,0.062
5,78,0.218,NA,0.417,0.42,0.352,NA,NA,0.2,0.107,0.414,0.446,0.402,0.471,0.491,0.445,0.749,0.312,0.037
5,80,0.203,NA,0.099,NA,0.391,NA,NA,0.061,0.49,0.088,0.146,0.137,0.23,0.254,0.289,0.346,0.19,0.167
6A,87,0.504,NA,0.715,NA,0.725,NA,0.864,0.571,0.816,0.591,0.911,0.766,0.378,0.533,0.508,0.614,0.268,0.419
6A,88,0.251,NA,0.116,0.66,0.465,0.574,0.634,0.53,0.612,0.414,0.111,0.145,0.263,0.294,0.088,0.072,0.094,0.059
6A,89,0.394,0.674,0.685,0.481,0.7,0.752,0.745,0.666,0.746,0.702,0.737,0.344,0.295,0.35,0.217,0.734,0.102,0.258
6A,90,0.525,0.509,0.805,0.335,0.481,0.243,0.586,0.687,0.691,0.489,0.716,0.778,0.554,0.677,0.782,0.883,0.522,0.643
6A,94,0.965,0.194,0.889,0.675,0.806,0.258,0.91,0.126,0.123,0.84,0.062,0.757,0.63,0.632,0.179,0.232,0.089,0.848
6A,95,0.523,0.743,0.194,0.779,0.752,0.773,0.745,0.547,0.628,0.75,0.408,0.555,0.153,0.204,0.587,0.439,0.821,0.67
6A,100,0.813,0.924,0.244,0.772,0.914,0.949,0.881,0.739,0.858,0.89,0.634,0.494,0.779,0.754,0.535,0.584,0.294,0.101
6A,103,0.057,NA,0.609,0.107,0.226,NA,0.326,0.419,0.037,0.019,0.698,0.461,0.132,0.16,0.258,0.244,0.116,0.353
6A,104,0.925,NA,0.88,NA,0.946,NA,NA,NA,0.894,0.954,0.867,0.908,0.857,0.858,0.904,0.794,0.926,0.923
6A,105,0.451,NA,0.259,NA,NA,NA,NA,NA,0.175,0.085,0.4,0.152,0.52,0.491,0.346,0.106,0.445,0.539
6B,108,NA,0.91,0.417,0.581,0.903,NA,NA,0.175,0.21,0.141,0.863,0.42,0.237,0.231,0.097,0.143,0.113,0.39
9,136,0.788,NA,0.449,NA,0.359,0.365,0.415,0.361,0.564,0.361,0.312,0.529,0.535,0.439,0.681,0.577,0.587,0.592
11,165,NA,NA,0.739,NA,NA,NA,NA,0.952,0.383,0.824,0.698,0.261,0.693,0.649,0.765,0.866,0.553,0.933
11,166,NA,NA,0.591,NA,NA,NA,NA,NA,0.367,0.924,0.072,0.514,0.259,0.705,0.628,0.409,0.58,0.561
11,168,NA,NA,0.033,NA,NA,NA,NA,0.124,0.064,0.145,0.268,0.262,0.022,0.055,0.033,0.152,0.063,0.106
11,170,NA,NA,0.542,NA,NA,NA,NA,0.039,0.321,0.106,0.865,0.465,0.171,0.494,0.271,0.192,0.244,0.328
11,171,NA,NA,0.566,NA,NA,NA,NA,0.138,0.63,0.396,0.673,0.602,0.317,0.632,0.419,0.763,0.109,0.095
12,172,NA,NA,0.408,0.596,NA,NA,NA,0.014,0.251,0.499,0.153,0.388,0.152,0.154,0.236,0.241,0.461,0.069
12,175,NA,NA,0.175,0.266,NA,NA,NA,0.385,0.616,0.141,0.185,0.539,0.393,0.264,0.391,0.34,0.275,0.359
12,176,NA,NA,0.437,NA,NA,NA,NA,0.626,0.136,0.072,0.827,0.573,0.078,0.036,0.826,0.649,0.681,0.573
12,177,NA,NA,0.352,0.023,NA,NA,NA,0.481,0.771,0.68,0.767,0.523,0.524,0.521,0.442,0.606,0.235,0.79
12,178,NA,NA,0.336,NA,NA,NA,NA,0.027,0.368,0.123,0.241,0.192,0.077,0.057,0.341,0.315,0.11,0.322
12,179,NA,NA,0.508,0.628,NA,NA,NA,0.076,0.416,0.438,0.532,0.221,0.184,0.145,0.569,0.64,0.516,0.592
12,180,NA,NA,0.137,0.018,NA,NA,NA,0.052,0.116,0.033,0.36,0.03,0.18,0.25,0.16,0.236,0.094,0.26
12,181,NA,NA,0.588,NA,NA,NA,NA,0.312,0.807,0.427,0.713,0.119,0.428,0.703,0.663,0.745,0.409,0.629
12,183,NA,NA,0.762,NA,NA,NA,NA,0.624,0.824,0.341,0.93,0.458,0.37,-0.003,0.077,0.557,0.601,0.091
14,199,NA,NA,0.693,0.614,NA,NA,NA,0.253,0.796,0.656,0.573,0.443,0.411,0.142,0.221,0.024,0.18,0.27
14,200,NA,NA,0.347,0.436,NA,NA,NA,0.092,0.158,0.065,0.322,0.09,0.054,0.288,0.368,0.191,0.614,0.584
14,207,NA,NA,0.172,0.06,0.239,NA,0.292,0.037,0.053,0.078,0.096,0.025,0.441,0.384,0.129,0.057,0.106,0.284
15,215,0.047,NA,0.613,NA,NA,NA,NA,0.602,0.24,0.025,0.593,0.391,0.247,0.236,0.014,0.048,0.008,0.048
15,216,0.423,NA,0.455,NA,0.427,0.375,NA,0.065,0.511,0.483,0.154,0.522,0.345,0.352,0.207,0.418,0.578,0.057
15,217,0.154,NA,0.631,0.387,0.52,0.479,0.344,0.412,0.639,0.47,0.136,0.307,0.398,0.555,0.356,0.367,0.378,0.185
