ecozone,ecoregion,caribou,blbw,boch,brcr,btnw,cawa,cmwa,osfl,pigr,rubl,swth,wwcr,allbirds,forestbirds,allwaterfowl,cavitynesters,groundnesters,overwaternesters
4,51,0.062,NA,0.032,NA,NA,NA,NA,0.079,0.036,0.048,0.023,0.063,0.066,0.07,0.067,0.029,0.063,0.06
4,52,0.033,NA,0.085,NA,NA,NA,NA,NA,0.084,0.071,NA,0.06,0.088,0.087,0.093,0.06,0.089,0.099
4,53,0.04,NA,0.045,NA,NA,NA,NA,NA,0.049,0.048,NA,0.077,0.053,0.08,0.025,0.031,0.034,0.023
4,55,0.091,NA,0.107,NA,NA,NA,0.125,0.101,0.105,0.114,0.129,0.125,0.088,0.109,0.103,0.092,0.101,0.109
4,59,0.063,NA,0.077,NA,NA,NA,NA,NA,0.046,0.066,0.044,0.073,0.057,0.076,0.088,0.066,0.094,0.089
4,60,0.014,NA,0.08,NA,NA,NA,0.107,0.076,0.07,0.067,0.065,0.057,0.064,0.075,0.058,0.06,0.067,0.057
4,62,0.027,NA,0.082,NA,NA,0.021,NA,0.053,0.027,0.09,0.035,0.048,0.076,0.085,0.025,0.053,0.031,0.064
5,68,0.074,NA,0.13,NA,NA,NA,NA,NA,0.14,0.117,0.074,0.142,0.066,0.088,0.116,0.104,0.127,0.106
5,69,0.12,NA,0.072,NA,NA,NA,0.067,0.058,0.083,0.071,0.063,0.072,0.069,0.067,0.058,0.06,0.053,0.052
5,70,0.113,NA,0.088,NA,NA,NA,NA,NA,0.107,0.082,0.098,0.074,0.087,0.102,0.082,0.08,0.095,0.088
5,71,0.082,NA,0.077,NA,NA,NA,0.07,0.072,0.092,0.057,0.091,0.07,0.077,0.079,0.08,0.09,0.101,0.099
5,72,0.036,NA,0.054,0.08,NA,NA,NA,0.063,0.073,0.072,0.068,0.041,0.055,0.059,0.044,0.045,0.045,0.077
5,74,0.068,NA,0.12,0.081,NA,NA,NA,0.109,0.079,0.078,0.1,0.062,0.088,0.087,0.098,0.093,0.097,0.059
5,77,0.076,NA,0.093,NA,NA,NA,NA,NA,0.079,0.064,0.08,0.11,0.079,0.074,0.09,0.086,0.101,0.079
5,78,0.061,NA,0.106,0.101,0.112,NA,NA,0.097,0.07,0.101,0.107,0.103,0.11,0.106,0.093,0.083,0.096,0.082
5,80,0.103,NA,0.138,NA,0.095,NA,NA,0.109,0.084,0.117,0.144,0.141,0.143,0.144,0.111,0.115,0.122,0.094
6A,87,0.033,NA,0.067,NA,0.068,NA,0.064,0.055,0.077,0.052,0.044,0.057,0.058,0.065,0.044,0.041,0.054,0.039
6A,88,0.053,NA,0.1,0.063,0.073,0.056,0.052,0.071,0.055,0.07,0.089,0.079,0.084,0.079,0.064,0.063,0.073,0.063
6A,89,0.049,0.052,0.058,0.073,0.065,0.057,0.057,0.056,0.051,0.068,0.055,0.06,0.063,0.062,0.058,0.04,0.065,0.053
6A,90,0.043,0.06,0.063,0.085,0.056,0.065,0.079,0.074,0.069,0.056,0.063,0.067,0.054,0.056,0.034,0.033,0.052,0.062
6A,94,0.037,0.089,0.063,0.102,0.082,0.085,0.058,0.087,0.092,0.081,0.087,0.077,0.104,0.102,0.054,0.057,0.068,0.061
6A,95,0.061,0.074,0.101,0.066,0.057,0.063,0.068,0.074,0.077,0.067,0.073,0.074,0.089,0.091,0.061,0.059,0.059,0.062
6A,100,0.063,0.038,0.093,0.076,0.052,0.032,0.058,0.045,0.062,0.048,0.089,0.049,0.06,0.067,0.08,0.088,0.081,0.059
6A,103,0.066,NA,0.077,0.111,0.097,NA,0.1,0.09,0.072,0.082,0.068,0.089,0.087,0.09,0.09,0.082,0.075,0.073
6A,104,0.056,NA,0.093,NA,0.04,NA,NA,NA,0.052,0.031,0.086,0.088,0.086,0.073,0.078,0.034,0.074,0.051
6A,105,0.093,NA,0.103,NA,NA,NA,NA,NA,0.072,0.11,0.115,0.119,0.114,0.12,0.1,0.098,0.101,0.095
6B,108,NA,0.05,0.111,0.107,0.05,NA,NA,0.125,0.136,0.138,0.061,0.116,0.111,0.111,0.163,0.152,0.146,0.131
9,136,0.055,NA,0.123,NA,0.082,0.125,0.127,0.106,0.102,0.125,0.094,0.074,0.113,0.12,0.052,0.044,0.056,0.079
11,165,NA,NA,0.057,NA,NA,NA,NA,0.033,0.054,0.037,0.066,0.042,0.048,0.038,0.055,0.06,0.07,0.037
11,166,NA,NA,0.042,NA,NA,NA,NA,NA,0.031,0.034,0.069,0.071,0.087,0.045,0.049,0.068,0.055,0.05
11,168,NA,NA,0.064,NA,NA,NA,NA,0.093,0.047,0.086,0.055,0.062,0.06,0.071,0.058,0.105,0.078,0.067
11,170,NA,NA,0.096,NA,NA,NA,NA,0.139,0.094,0.115,0.065,0.104,0.11,0.105,0.125,0.106,0.128,0.127
11,171,NA,NA,0.11,NA,NA,NA,NA,0.095,0.062,0.099,0.1,0.103,0.058,0.08,0.086,0.066,0.122,0.118
12,172,NA,NA,0.093,0.061,NA,NA,NA,0.072,0.033,0.075,0.06,0.062,0.072,0.062,0.072,0.067,0.091,0.065
12,175,NA,NA,0.082,0.085,NA,NA,NA,0.073,0.039,0.086,0.059,0.063,0.06,0.066,0.058,0.062,0.066,0.064
12,176,NA,NA,0.097,NA,NA,NA,NA,0.062,0.038,0.098,0.081,0.075,0.093,0.091,0.059,0.081,0.084,0.072
12,177,NA,NA,0.091,0.078,NA,NA,NA,0.074,0.038,0.08,0.073,0.089,0.113,0.101,0.091,0.096,0.12,0.055
12,178,NA,NA,0.104,NA,NA,NA,NA,0.125,0.097,0.113,0.102,0.095,0.109,0.112,0.127,0.096,0.135,0.137
12,179,NA,NA,0.084,0.066,NA,NA,NA,0.083,0.063,0.074,0.067,0.091,0.076,0.076,0.078,0.067,0.081,0.073
12,180,NA,NA,0.118,0.112,NA,NA,NA,0.115,0.077,0.135,0.11,0.136,0.112,0.108,0.13,0.122,0.131,0.115
12,181,NA,NA,0.074,NA,NA,NA,NA,0.089,0.021,0.112,0.073,0.097,0.067,0.086,0.053,0.044,0.068,0.06
12,183,NA,NA,0.049,NA,NA,NA,NA,0.053,0.032,0.047,0.042,0.079,0.04,0.057,0.045,0.059,0.059,0.044
14,199,NA,NA,0.085,0.09,NA,NA,NA,0.152,0.08,0.074,0.087,0.133,0.099,0.091,0.125,0.095,0.142,0.123
14,200,NA,NA,0.045,0.057,NA,NA,NA,0.042,0.063,0.057,0.084,0.069,0.073,0.065,0.033,0.047,0.044,0.059
14,207,NA,NA,0.064,0.077,0.059,NA,0.075,0.085,0.073,0.093,0.115,0.088,0.073,0.074,0.097,0.09,0.11,0.079
15,215,0.117,NA,0.11,NA,NA,NA,NA,0.116,0.126,0.131,0.118,0.117,0.145,0.143,0.156,0.128,0.152,0.142
15,216,0.103,NA,0.093,NA,0.096,0.111,NA,0.113,0.11,0.116,0.103,0.105,0.119,0.116,0.107,0.087,0.093,0.1
15,217,0.067,NA,0.105,0.118,0.093,0.099,0.115,0.099,0.084,0.114,0.099,0.119,0.095,0.086,0.076,0.085,0.073,0.085
