ecoregion,species,cmi_tstat,gpp_tstat,led_tstat,lcc_tstat,cmi,gpp,led,lcc
51,caribou,3.08,0.28,0.59,4.55,0,0,0,1
52,caribou,0.43,3.63,2.61,10.51,0,0,0,1
53,caribou,8.06,13.25,14.39,6.72,0,0,1,0
55,caribou,0.62,6.84,1.71,2.76,0,1,0,0
59,caribou,4.8,2.56,3.61,1.01,1,0,0,0
60,caribou,5.35,5.43,3.42,10.05,0,0,0,1
62,caribou,4.2,10.54,1.76,3.48,0,1,0,0
68,caribou,0.26,1.56,4.47,1.78,0,0,1,0
69,caribou,4.53,7.25,2.81,7.43,0,0,0,1
70,caribou,1,1.05,0.85,0.91,0,1,0,0
71,caribou,5.81,2.22,2.99,4.05,1,0,0,0
72,caribou,12.59,8.21,9.35,0.87,1,0,0,0
74,caribou,2.99,3.58,2.27,1.68,0,1,0,0
77,caribou,5.92,6.66,1.4,0.1,0,1,0,0
78,caribou,6.56,0.14,2.35,6.87,0,0,0,1
80,caribou,1.76,8.88,3.38,5.52,0,1,0,0
87,caribou,4.66,5.42,3.09,8.91,0,0,0,1
88,caribou,5.02,8.76,3.67,1.1,0,1,0,0
89,caribou,0.05,0.17,7.35,7.15,0,0,1,0
90,caribou,10.55,1.34,3.52,1.02,1,0,0,0
94,caribou,0.67,33.68,7.02,2.49,0,1,0,0
95,caribou,2.21,1.42,0.57,13,0,0,0,1
100,caribou,11.55,29.6,15.48,3.64,0,1,0,0
103,caribou,0.91,4.05,1.48,1.04,0,1,0,0
104,caribou,2.41,6.86,2.68,0.84,0,1,0,0
105,caribou,7.5,6.73,0.23,0.49,1,0,0,0
136,caribou,6.47,0.23,0.21,0.57,1,0,0,0
215,caribou,5.86,0.35,2.36,0.61,1,0,0,0
216,caribou,5.11,11.39,2.05,4.58,0,1,0,0
217,caribou,2,6.14,1.1,1.88,0,1,0,0
51,allbirds,3.87,0.45,8.25,6.36,0,0,1,0
52,allbirds,0.11,2.19,0.91,9.86,0,0,0,1
53,allbirds,24.75,1.63,0.14,15.14,1,0,0,0
55,allbirds,1.51,0.55,0.47,2.86,0,0,0,1
59,allbirds,21.22,7.44,0.25,1.91,1,0,0,0
60,allbirds,2.11,17.46,6.28,6.37,0,1,0,0
62,allbirds,1.59,1.93,1,3.62,0,0,0,1
68,allbirds,22.82,1.09,5.72,6.23,1,0,0,0
69,allbirds,2.15,13.26,8.09,14.03,0,0,0,1
70,allbirds,2.49,6.51,0.5,16.5,0,0,0,1
71,allbirds,5.82,17.66,1.12,3.05,0,1,0,0
72,allbirds,3.09,0.88,1.66,4.92,0,0,0,1
74,allbirds,0.53,3.7,0.86,2.45,0,1,0,0
77,allbirds,6.23,2.48,1.94,12.23,0,0,0,1
78,allbirds,1.33,7.04,2.49,5.69,0,1,0,0
80,allbirds,4.45,9.46,0.41,1.3,0,1,0,0
87,allbirds,2.5,5.53,0.81,3.29,0,1,0,0
88,allbirds,4.75,3.61,2.67,2.3,1,0,0,0
89,allbirds,2.14,11.88,3.67,2.55,0,1,0,0
90,allbirds,7.14,4.85,9.45,3.62,0,0,1,0
94,allbirds,7.77,11.49,17.64,7.18,0,0,1,0
95,allbirds,3.67,0.73,2.62,4.51,0,0,0,1
100,allbirds,10.97,21.47,0.9,4.58,0,1,0,0
103,allbirds,5.83,1.65,0.03,1.78,1,0,0,0
104,allbirds,2.84,4.18,4.74,0.46,0,0,1,0
105,allbirds,0.93,10.64,0.85,3.21,0,1,0,0
108,allbirds,10.39,2.16,1.03,0.05,1,0,0,0
136,allbirds,2.72,2,0.48,2.72,1,0,0,0
165,allbirds,4.76,0.66,2.43,8.45,0,0,0,1
166,allbirds,2.33,7.35,0.43,5.3,0,1,0,0
168,allbirds,1.14,2.19,2.7,0.73,0,0,1,0
170,allbirds,1.63,2.12,3.79,2.96,0,0,1,0
171,allbirds,3.81,5.07,3.12,0.04,0,1,0,0
172,allbirds,2.33,2.25,2.67,6.77,0,0,0,1
175,allbirds,5,13.83,1.32,3.85,0,1,0,0
176,allbirds,4.77,3.88,0.13,0.99,1,0,0,0
177,allbirds,3.69,0.06,3.62,2.21,1,0,0,0
178,allbirds,1.48,0.83,3.43,1.17,0,0,1,0
179,allbirds,3.99,0.03,0.67,2.03,1,0,0,0
180,allbirds,8.64,2.67,3.51,1.11,1,0,0,0
181,allbirds,6.32,11.88,0.89,0.9,0,1,0,0
183,allbirds,3.9,1.04,0.5,1.38,1,0,0,0
199,allbirds,4.54,12.55,2.82,2.78,0,1,0,0
200,allbirds,0.52,1.67,1.2,0.48,0,1,0,0
207,allbirds,4.85,2.05,0.33,5.69,0,0,0,1
215,allbirds,0.27,0.46,3.74,5.84,0,0,0,1
216,allbirds,9.73,9.65,4.14,0.76,1,0,0,0
217,allbirds,2.76,12.99,1.02,1.77,0,1,0,0
51,forestbirds,1.98,2.58,5.21,2.9,0,0,1,0
52,forestbirds,0.91,1.74,1.04,13.59,0,0,0,1
53,forestbirds,2.03,16.38,5.13,6.08,0,1,0,0
55,forestbirds,2.11,2.49,2.73,2.01,0,0,1,0
59,forestbirds,12.24,3.63,3.5,0.5,1,0,0,0
60,forestbirds,7.21,22.88,0.8,8.63,0,1,0,0
62,forestbirds,2.53,4.87,0.26,5.28,0,0,0,1
68,forestbirds,14.96,1.74,2.56,5.27,1,0,0,0
69,forestbirds,2.11,16.32,8.25,10.56,0,1,0,0
70,forestbirds,5.33,6.08,1.84,10.32,0,0,0,1
71,forestbirds,5.66,16.46,0.09,4.67,0,1,0,0
72,forestbirds,8.7,8.07,1.8,8.95,0,0,0,1
74,forestbirds,2.28,11.73,4.72,2.32,0,1,0,0
77,forestbirds,3.16,6.85,0.09,12.03,0,0,0,1
78,forestbirds,1.03,8.7,3.14,4.31,0,1,0,0
80,forestbirds,4.05,10.44,0.44,2.46,0,1,0,0
87,forestbirds,3.39,6.78,0.44,4.73,0,1,0,0
