species,bcr,term,estimate,std.error,statistic,p.value
allbirds,BCR4,Intcpt,0.07,0,22.14,0
allbirds,BCR4,CMI,0.27,0.02,14.69,0
allbirds,BCR4,GPP,0.18,0.02,8.68,0
allbirds,BCR4,LED,0.21,0.02,11.74,0
allbirds,BCR4,LCC,0.37,0.02,17.76,0
allbirds,BCR6,Intcpt,0.12,0.01,21.91,0
allbirds,BCR6,CMI,0.14,0.03,5.13,0
allbirds,BCR6,GPP,0.23,0.02,9.45,0
allbirds,BCR6,LED,0.09,0.02,3.78,0
allbirds,BCR6,LCC,0.17,0.02,7.32,0
allbirds,BCR7,Intcpt,0.1,0,22.54,0
allbirds,BCR7,CMI,0.26,0.02,11.33,0
allbirds,BCR7,GPP,0.32,0.02,17.14,0
allbirds,BCR7,LED,0.25,0.02,14.98,0
allbirds,BCR7,LCC,0.15,0.02,7.84,0
allbirds,BCR8,Intcpt,0.13,0,36.87,0
allbirds,BCR8,CMI,0.04,0.02,2.38,0.017
allbirds,BCR8,GPP,0.36,0.02,21.32,0
allbirds,BCR8,LED,0.08,0.02,4.99,0
allbirds,BCR8,LCC,0.24,0.02,12.06,0
allwaterfowl,BCR4,Intcpt,0.11,0.01,20.12,0
allwaterfowl,BCR4,CMI,0.02,0.03,0.57,0.566
allwaterfowl,BCR4,GPP,0.15,0.04,3.84,0
allwaterfowl,BCR4,LED,0.16,0.03,4.68,0
allwaterfowl,BCR4,LCC,0.79,0.04,20.2,0
allwaterfowl,BCR6,Intcpt,0.12,0.01,18.54,0
allwaterfowl,BCR6,CMI,-0.08,0.03,-2.41,0.016
allwaterfowl,BCR6,GPP,0.44,0.03,14.48,0
allwaterfowl,BCR6,LED,-0.15,0.03,-5.19,0
allwaterfowl,BCR6,LCC,0.32,0.03,11.25,0
allwaterfowl,BCR7,Intcpt,0.08,0,17.39,0
allwaterfowl,BCR7,CMI,0.21,0.02,8.91,0
allwaterfowl,BCR7,GPP,0.26,0.02,13.92,0
allwaterfowl,BCR7,LED,0.26,0.02,15.34,0
allwaterfowl,BCR7,LCC,0.25,0.02,13.21,0
allwaterfowl,BCR8,Intcpt,0.12,0,42.6,0
allwaterfowl,BCR8,CMI,-0.01,0.01,-0.74,0.459
allwaterfowl,BCR8,GPP,0.19,0.01,14.71,0
allwaterfowl,BCR8,LED,0.18,0.01,14.17,0
allwaterfowl,BCR8,LCC,0.12,0.02,7.92,0
cavitynesters,BCR4,Intcpt,0.1,0,22.44,0
cavitynesters,BCR4,CMI,0.03,0.03,1.22,0.223
cavitynesters,BCR4,GPP,0.17,0.03,5.57,0
cavitynesters,BCR4,LED,0.02,0.03,0.84,0.403
cavitynesters,BCR4,LCC,0.6,0.03,19.39,0
cavitynesters,BCR6,Intcpt,0.1,0.01,13.31,0
cavitynesters,BCR6,CMI,0.01,0.04,0.36,0.716
cavitynesters,BCR6,GPP,0.38,0.03,11.47,0
cavitynesters,BCR6,LED,-0.03,0.03,-0.78,0.437
cavitynesters,BCR6,LCC,0.19,0.03,6.04,0
cavitynesters,BCR7,Intcpt,0.05,0.01,10.23,0
cavitynesters,BCR7,CMI,0.24,0.03,9,0
cavitynesters,BCR7,GPP,0.21,0.02,10.02,0
cavitynesters,BCR7,LED,0.35,0.02,18.45,0
cavitynesters,BCR7,LCC,0.33,0.02,15.32,0
cavitynesters,BCR8,Intcpt,0.06,0,14.35,0
cavitynesters,BCR8,CMI,0,0.02,0.03,0.976
cavitynesters,BCR8,GPP,0.25,0.02,12.71,0
cavitynesters,BCR8,LED,0.46,0.02,24.67,0
cavitynesters,BCR8,LCC,0.25,0.02,10.88,0
coniferbirds,BCR4,Intcpt,0.08,0,24.19,0
coniferbirds,BCR4,CMI,0.14,0.02,6.86,0
coniferbirds,BCR4,GPP,0.16,0.02,6.88,0
coniferbirds,BCR4,LED,0.16,0.02,8.19,0
coniferbirds,BCR4,LCC,0.52,0.02,22.51,0
coniferbirds,BCR6,Intcpt,0.15,0.01,25.23,0
coniferbirds,BCR6,CMI,0.08,0.03,2.75,0.006
coniferbirds,BCR6,GPP,0.2,0.03,7.39,0
coniferbirds,BCR6,LED,0.12,0.03,4.39,0
coniferbirds,BCR6,LCC,0.08,0.02,3.3,0.001
coniferbirds,BCR7,Intcpt,0.13,0,25.63,0
coniferbirds,BCR7,CMI,0.2,0.03,7.91,0
coniferbirds,BCR7,GPP,0.34,0.02,17.04,0
coniferbirds,BCR7,LED,0.23,0.02,12.53,0
coniferbirds,BCR7,LCC,0.18,0.02,9.04,0
coniferbirds,BCR8,Intcpt,0.12,0,34.65,0
coniferbirds,BCR8,CMI,0.09,0.02,5.09,0
coniferbirds,BCR8,GPP,0.45,0.02,26.12,0
coniferbirds,BCR8,LED,0.03,0.02,2.09,0.036
coniferbirds,BCR8,LCC,0.24,0.02,11.77,0
deciduousbirds,BCR4,Intcpt,0.05,0,16.75,0
deciduousbirds,BCR4,CMI,0.35,0.02,18.01,0
deciduousbirds,BCR4,GPP,0.19,0.02,8.61,0
deciduousbirds,BCR4,LED,0.26,0.02,13.58,0
deciduousbirds,BCR4,LCC,0.31,0.02,13.87,0
deciduousbirds,BCR6,Intcpt,0.1,0,20.14,0
deciduousbirds,BCR6,CMI,0.21,0.02,8.78,0
deciduousbirds,BCR6,GPP,0.19,0.02,8.64,0
deciduousbirds,BCR6,LED,0.13,0.02,5.78,0
deciduousbirds,BCR6,LCC,0.14,0.02,6.62,0
deciduousbirds,BCR7,Intcpt,0.09,0,19.03,0
deciduousbirds,BCR7,CMI,0.26,0.02,10.39,0
deciduousbirds,BCR7,GPP,0.3,0.02,15.05,0
deciduousbirds,BCR7,LED,0.28,0.02,15.45,0
deciduousbirds,BCR7,LCC,0.13,0.02,6.4,0
deciduousbirds,BCR8,Intcpt,0.12,0,28.7,0
deciduousbirds,BCR8,CMI,0.03,0.02,1.23,0.217
deciduousbirds,BCR8,GPP,0.34,0.02,16.65,0
deciduousbirds,BCR8,LED,0.09,0.02,4.85,0
deciduousbirds,BCR8,LCC,0.38,0.02,15.68,0
decliningbirds,BCR4,Intcpt,0.07,0,22.75,0
decliningbirds,BCR4,CMI,0.27,0.02,15.17,0
decliningbirds,BCR4,GPP,0.15,0.02,6.93,0
decliningbirds,BCR4,LED,0.17,0.02,9.67,0
decliningbirds,BCR4,LCC,0.41,0.02,19.67,0
decliningbirds,BCR6,Intcpt,0.12,0.01,21.75,0
decliningbirds,BCR6,CMI,0.14,0.03,5.15,0
decliningbirds,BCR6,GPP,0.18,0.03,7.2,0
decliningbirds,BCR6,LED,0.15,0.02,6.06,0
