species,bcr,term,estimate,std.error,statistic,p.value
allbirds,BCR4,Intcpt,0.11,0.01,19.28,0
allbirds,BCR4,CMI,-0.14,0.03,-4.14,0
allbirds,BCR4,GPP,0.24,0.04,5.9,0
allbirds,BCR4,LED,0.13,0.03,3.86,0
allbirds,BCR4,LCC,0.43,0.04,10.95,0
allbirds,BCR6,Intcpt,0.08,0.01,9.38,0
allbirds,BCR6,CMI,0.1,0.04,2.25,0.025
allbirds,BCR6,GPP,0.27,0.04,6.51,0
allbirds,BCR6,LED,0.23,0.04,5.64,0
allbirds,BCR6,LCC,0.34,0.04,8.98,0
allbirds,BCR7,Intcpt,0.07,0.01,9.66,0
allbirds,BCR7,CMI,0.26,0.04,6.6,0
allbirds,BCR7,GPP,0.21,0.03,6.79,0
allbirds,BCR7,LED,0.2,0.03,7.35,0
allbirds,BCR7,LCC,0.46,0.03,14.61,0
allbirds,BCR8,Intcpt,0.15,0.01,22.81,0
allbirds,BCR8,CMI,-0.14,0.03,-4.15,0
allbirds,BCR8,GPP,0.23,0.03,7.38,0
allbirds,BCR8,LED,0.25,0.03,8.33,0
allbirds,BCR8,LCC,0.08,0.04,2.2,0.028
allwaterfowl,BCR4,Intcpt,0.1,0.01,16.91,0
allwaterfowl,BCR4,CMI,-0.12,0.04,-3.41,0.001
allwaterfowl,BCR4,GPP,0.03,0.04,0.6,0.548
allwaterfowl,BCR4,LED,0.22,0.04,6.29,0
allwaterfowl,BCR4,LCC,0.66,0.04,15.97,0
allwaterfowl,BCR6,Intcpt,0.17,0.01,13.11,0
allwaterfowl,BCR6,CMI,-0.19,0.06,-3,0.003
allwaterfowl,BCR6,GPP,0.57,0.06,9.63,0
allwaterfowl,BCR6,LED,-0.27,0.06,-4.7,0
allwaterfowl,BCR6,LCC,0.14,0.05,2.66,0.008
allwaterfowl,BCR7,Intcpt,0.04,0.01,5.25,0
allwaterfowl,BCR7,CMI,0.24,0.04,5.96,0
allwaterfowl,BCR7,GPP,0.29,0.03,8.77,0
allwaterfowl,BCR7,LED,0.44,0.03,14.91,0
allwaterfowl,BCR7,LCC,0.33,0.03,10,0
allwaterfowl,BCR8,Intcpt,0.09,0.01,16.47,0
allwaterfowl,BCR8,CMI,-0.14,0.03,-5.19,0
