network,boch_ri,cawa_ri,rubl_ri,caribou_ri
PB_10140_PB_16336_PB_26952,1.092,0.934,0.943,0.987
PB_10140_PB_24190_PB_31031,1.026,0.995,1.035,1.11
PB_10534_PB_20959_PB_63681,1.129,1.111,0.788,0.96
PB_10985_PB_11687_PB_45410,1.091,0.885,0.966,0.966
PB_10985_PB_16113_PB_51609,1.128,1.158,0.865,0.954
PB_10985_PB_26919_PB_44010,1.135,1.202,0.852,0.988
PB_10985_PB_30640_PB_43274,1.137,1.273,0.828,0.998
PB_11013_PB_31031_PB_43088,1.115,1.435,0.661,1.021
PB_11614_PB_16336_PB_63780,1.137,1.45,0.717,0.954
PB_11614_PB_16897_PB_26952,1.125,0.924,0.983,0.977
PB_11614_PB_23284_PB_29213,1.099,0.987,0.904,0.99
PB_11614_PB_27573_PB_53815,1.122,1.555,0.652,1.007
PB_11614_PB_30242_PB_36044,1.068,0.907,0.832,1.058
PB_13510_PB_24784_PB_63780,1.111,1.54,0.622,1.016
PB_16494_PB_24190_PB_55599,1.107,1.382,0.869,1.039
PB_17668_PB_18939_PB_37816,1.144,1.375,0.877,1.006
PB_18939_PB_30640_PB_33070,1.148,1.371,0.905,1.031
PB_20118_PB_30640_PB_63780,1.161,1.449,0.732,0.981
PB_2981_PB_17973_PB_63780,1.094,1.343,0.811,0.952
PB_2991_PB_17973_PB_45861,1.091,1.213,0.845,0.959
PB_2991_PB_29153_PB_63780,1.129,1.407,0.824,0.98
PB_3349_PB_24784_PB_46249,1.058,1.284,0.802,1.02
PB_3447_PB_24784_PB_43274,1.063,1.343,0.783,1.025
PB_3773_PB_19410_PB_51781,1.092,1.231,0.841,0.964
PB_3773_PB_30640_PB_44773,1.114,1.161,0.907,0.981
PB_3792_PB_24938_PB_44010,1.062,1.343,0.781,1.026
PB_4141_PB_10646_PB_43274,1.082,0.926,0.982,0.963
PB_4141_PB_16494_PB_64180,1.09,1.386,0.803,0.955
PB_4141_PB_16949_PB_53815,1.088,1.213,0.845,0.959
PB_4141_PB_23284_PB_63551,1.093,1.362,0.8,0.965
PB_4141_PB_9187_PB_43088,1.077,0.897,0.995,0.966
PB_4224_PB_23277_PB_40044,1.087,1.238,0.839,0.97
PB_4997_PB_11687_PB_41314,1.089,0.975,0.966,0.96
PB_4997_PB_21759_PB_47946,1.11,1.088,0.929,0.967
PB_4997_PB_24424_PB_64180,1.129,1.417,0.831,0.976
PB_5084_PB_19410_PB_51781,1.092,1.23,0.841,0.965
PB_5084_PB_23284_PB_45410,1.077,1.138,0.877,0.963
PB_5084_PB_30640_PB_142259,1.129,1.434,0.822,0.976
PB_5182_PB_27289_PB_51609,1.038,1.325,0.755,1.008
PB_5182_PB_36044_PB_55646,1.052,1.177,0.757,1.028
PB_5399_PB_9690_PB_63780,1.09,1.07,0.958,0.997
PB_5488_PB_16949_PB_44010,1.086,1.198,0.852,0.965
PB_5488_PB_30640_PB_44773,1.114,1.163,0.908,0.985
PB_5488_PB_9716_PB_51781,1.081,0.931,0.982,0.966
PB_5533_PB_19410_PB_28558,1.028,0.842,1.061,0.989
PB_5533_PB_23277_PB_26952,1.022,0.86,1.064,0.993
PB_5687_PB_16336_PB_18939,1.005,0.782,1.152,1.029
PB_5687_PB_16949_PB_40044,1.085,1.193,0.856,0.965
PB_5687_PB_29064_PB_147023,1.121,1.529,0.802,0.986
PB_5687_PB_8321_PB_43214,1.074,0.886,1,0.97
PB_5687_PB_9716_PB_48120,1.08,0.918,0.986,0.964
PB_5687_PB_9716_PB_63780,1.084,1.057,0.947,0.961
PB_6922_PB_9690_PB_43863,1.081,0.927,0.984,0.967
PB_6988_PB_16519_PB_53815,1.126,1.18,0.87,0.955
PB_6988_PB_20091_PB_40044,1.091,1.245,0.807,0.983
PB_6988_PB_24424_PB_40044,1.132,1.224,0.858,0.994
PB_6988_PB_27573_PB_47946,1.077,1.425,0.733,1.021
PB_7931_PB_10646_PB_41749,1.097,0.943,0.96,0.957
PB_7931_PB_19410_PB_24190,1.018,0.8,1.192,1.047
PB_8244_PB_26919_PB_40044,1.129,1.19,0.878,0.988
PB_8244_PB_29153_PB_43214,1.133,1.27,0.848,0.998
PB_8675_PB_24784_PB_45410,1.075,1.261,0.767,1.006
PB_8675_PB_8814_PB_18939,1.029,0.611,1.222,1.007
PB_8762_PB_11699_PB_55646,1.097,0.964,0.882,1.002
PB_9128_PB_13510_PB_147023,1.102,1.106,0.808,0.988
PB_9347_PB_9725_PB_42272,1.094,0.935,0.957,0.974
PB_9453_PB_15300_PB_29213,1.123,0.883,0.981,0.97
PB_9453_PB_24938_PB_41749,1.115,1.462,0.677,1.025
PB_9453_PB_27289_PB_43214,1.088,1.426,0.662,1.011
PB_9453_PB_27289_PB_43863,1.088,1.428,0.66,1.011
PB_9713_PB_26750_PB_45410,1.094,1.367,0.702,1.007
PB_9725_PB_18977_PB_45861,1.1,1.243,0.814,0.975
