Group,Code,Common_name,Scientific_name,Nesting_guild
Ungulates,Caribou,Boreal caribou,Rangifer tarandus,
Songbirds,ALFL,Alder Flycatcher,Empidonax alnorum,
,AMCR,American Crow,Corvus brachyrhynchos,
,AMGO,American Goldfinch,Spinus tristis,
,AMPI,American Pipit,Anthus rubescens,
,AMRE,American Redstart,Setophaga ruticilla,
,AMRO,American Robin,Turdus migratorius,
,ATSP,American Tree Sparrow,Spizella arborea,
,BAWW,Black-and-white Warbler,Mniotilta varia,
,BBWA,Bay-breasted Warbler,Setophaga castanea,
,BCCH,Black-capped Chickadee,Poecile atricapillus,
,BHCO,Brown-headed Cowbird,Molothrus ater,
,BHVI,Blue-headed Vireo,Vireo solitarius,
,BLBW,Blackburnian Warbler,Setophaga fusca,
,BLJA,Blue Jay,Cyanocitta cristata,
,BLPW,Blackpoll Warbler,Setophaga striata,
,BOCH,Boreal Chickadee,Poecile hudsonicus,
,BRBL,Brewer’s Blackbird,Euphagus cyanocephalus,
,BRCR,Brown Creeper,Certhia americana,
,BTNW,Black-throated Green Warbler,Setophaga virens,
,CAWA,Canada Warbler,Cardellina canadensis,
,CCSP,Clay-colored Sparrow,Spizella pallida,
,CEDW,Cedar Waxwing,Bombycilla cedrorum,
,CHSP,Chipping Sparrow,Spizella passerina,
,CMWA,Cape May Warbler,Setophaga tigrina,
,COGR,Common Grackle,Quiscalus quiscula,
,CONW,Connecticut Warbler,Oporornis agilis,
,CORA,Common Raven,Corvus corax,
,CORE,Common Redpoll,Acanthis flammea,
,COYE,Common Yellowthroat,Geothlypis trichas,
,CSWA,Chestnut-sided Warbler,Setophaga pensylvanica,
,DEJU,Dark-eyed Junco,Junco hyemalis,
,EAKI,Eastern Kingbird,Tyrannus tyrannus,
,EAPH,Eastern Phoebe,Sayornis phoebe,
,EVGR,Evening Grosbeak,Coccothraustes vespertinus,
,FOSP,Fox Sparrow,Passerella iliaca,
,GCKI,Golden-crowned Kinglet,Regulus satrapa,
,GCTH,Gray-cheeked Thrush,Catharus minimus,
,GRAJ,Gray Jay,Perisoreus canadensis,
,HETH,Hermit Thrush,Catharus guttatus,
,HOLA,Horned Lark,Eremophila alpestris,
,LCSP,Le Conte's Sparrow,Ammodramus leconteii,
,LEFL,Least Flycatcher,Empidonax minimus,
,LISP,Lincoln's Sparrow,Melospiza lincolnii,
,MAWA,Magnolia Warbler,Setophaga magnolia,
,MOWA,Mourning Warbler,Geothlypis philadelphia,
,NAWA,Nashville Warbler,Oreothlypis ruficapilla,
,NOWA,Northern Waterthrush,Parkesia noveboracensis,
,OCWA,Orange-crowned Warbler,Oreothlypis celata,
,OSFL,Olive-sided Flycatcher,Contopus cooperi,
,OVEN,Ovenbird,Seiurus aurocapilla,
,PAWA,Palm Warbler,Setophaga palmarum,
,PHVI,Philadelphia Vireo,Vireo philadelphicus,
,PIGR,Pine Grosbeak,Pinicola enucleator,
,PISI,Pine Siskin,Spinus pinus,
,PUFI,Purple Finch,Carpodacus purpureus,
,RBGR,Rose-breasted Grosbeak,Pheucticus ludovicianus,
,RBNU,Red-breasted Nuthatch,Sitta canadensis,
,RCKI,Ruby-crowned Kinglet,Regulus calendula,
,REVI,Red-eyed Vireo,Vireo olivaceus,
,RUBL,Rusty Blackbird,Euphagus carolinus,
,RWBL,Red-winged Blackbird,Agelaius phoeniceus,
,SAVS,Savannah Sparrow,Passerculus sandwichensis,
,SOSP,Song Sparrow,Melospiza melodia,
,SWSP,Swamp Sparrow,Melospiza georgiana,
,SWTH,Swainson's Thrush,Catharus ustulatus,
,TEWA,Tennessee Warbler,Oreothlypis peregrina,
,TRES,Tree Swallow,Tachycineta bicolor,
,VATH,Varied Thrush,Ixoreus naevius,
,VESP,Vesper Sparrow,Pooecetes gramineus,
,WAVI,Warbling Vireo,Vireo gilvus,
,WCSP,White-crowned Sparrow,Zonotrichia leucophrys,
,WETA,Western Tanager,Piranga ludoviciana,
,WEWP,Western Wood-Pewee,Contopus sordidulus,
,WIWA,Wilson's Warbler,Cardellina pusilla,
,WIWR,Winter Wren,Troglodytes hiemalis,
,WTSP,White-throated Sparrow,Zonotrichia albicollis,
,WWCR,White-winged Crossbill,Loxia leucoptera,
,YBFL,Yellow-bellied Flycatcher,Empidonax flaviventris,
,YRWA,Yellow-rumped Warbler,Setophaga coronata,
,YWAR,Yellow Warbler,Setophaga petechia,
Waterfowl,ABDU,American Black Duck,Anas rubripes,Ground
,AGWT,Green-winged Teal,Anas crecca,Ground
,AMWI,American Wigeon,Anas americana,Ground
,BUFF,Bufflehead,Bucephala albeola,Cavity
,BWTE,Blue-winged Teal,Anas discors,Ground
,CANV,Canvasback,Aythya valisineria,Over-water
,GADW,Gadwall,Anas strepera,Ground
,GGOL,Goldeneye species,Bucephala clangula,Cavity
,,,Bucephala islandica,Cavity
,GMER,Merganser species,Mergus merganser,Cavity
,,,Mergus serrator,Cavity
,,,Lophodytes cucullatus,Cavity
,GSCA,Scaup species,Aythya affinis,Over-water
,,,Aythya marila,Over-water
,GSCO,Scoter species,Melanitta americana,Ground
,,,Melanitta fusca,Ground
,,,Melanitta perspicillata,Ground
,MALL,Mallard,Anas platyrhynchos,Ground
,NOPI,Northern Pintail,Anas acuta,Ground
,NSHO,Northern Shoveler,Anas clypeata,Ground
,REDH,Redhead,Aythya americana,Over-water
,RNDU,Ring-necked Duck,Aythya collaris,Over-water
,RUDU,Ruddy Duck,Oxyura jamaicensis,Over-water
